S,I,D,R,steps
0.0,30.0,70.0,0.0,211.0
1.0,22.0,77.0,0.0,209.0
0.0,30.0,70.0,0.0,211.0
0.0,29.0,71.0,0.0,200.0
0.0,29.0,71.0,0.0,208.0
0.0,21.0,79.0,0.0,205.0
0.0,30.0,70.0,0.0,214.0
0.0,27.0,73.0,0.0,219.0
0.0,21.0,79.0,0.0,208.0
1.0,28.0,71.0,0.0,216.0
0.0,30.0,70.0,0.0,191.0
1.0,27.0,72.0,0.0,222.0
0.0,26.0,74.0,0.0,205.0
0.0,32.0,68.0,0.0,209.0
0.0,29.0,71.0,0.0,195.0
0.0,30.0,70.0,0.0,230.0
0.0,34.0,66.0,0.0,204.0
0.0,25.0,75.0,0.0,204.0
0.0,28.0,72.0,0.0,212.0
0.0,31.0,69.0,0.0,212.0
2.0,24.0,74.0,0.0,220.0
0.0,34.0,66.0,0.0,202.0
0.0,25.0,75.0,0.0,214.0
1.0,32.0,67.0,0.0,204.0
0.0,31.0,69.0,0.0,199.0
0.0,30.0,70.0,0.0,199.0
0.0,22.0,78.0,0.0,213.0
0.0,25.0,75.0,0.0,201.0
1.0,29.0,70.0,0.0,213.0
0.0,24.0,76.0,0.0,217.0
0.0,27.0,73.0,0.0,195.0
0.0,28.0,72.0,0.0,205.0
0.0,30.0,70.0,0.0,203.0
0.0,30.0,70.0,0.0,203.0
0.0,27.0,73.0,0.0,221.0
1.0,22.0,77.0,0.0,219.0
0.0,23.0,77.0,0.0,213.0
0.0,27.0,73.0,0.0,198.0
1.0,30.0,69.0,0.0,210.0
0.0,25.0,75.0,0.0,207.0
0.0,25.0,75.0,0.0,199.0
0.0,25.0,75.0,0.0,219.0
0.0,24.0,76.0,0.0,213.0
0.0,29.0,71.0,0.0,211.0
0.0,25.0,75.0,0.0,211.0
1.0,31.0,68.0,0.0,204.0
0.0,29.0,71.0,0.0,220.0
0.0,29.0,71.0,0.0,204.0
0.0,27.0,73.0,0.0,196.0
0.0,22.0,78.0,0.0,219.0
0.0,30.0,70.0,0.0,206.0
0.0,25.0,75.0,0.0,231.0
0.0,29.0,71.0,0.0,227.0
0.0,27.0,73.0,0.0,205.0
0.0,27.0,73.0,0.0,214.0
1.0,25.0,74.0,0.0,207.0
0.0,27.0,73.0,0.0,208.0
1.0,26.0,73.0,0.0,223.0
0.0,25.0,75.0,0.0,200.0
1.0,25.0,74.0,0.0,203.0
0.0,26.0,74.0,0.0,205.0
0.0,26.0,74.0,0.0,204.0
0.0,26.0,74.0,0.0,213.0
1.0,25.0,74.0,0.0,216.0
0.0,28.0,72.0,0.0,206.0
0.0,24.0,76.0,0.0,203.0
0.0,20.0,80.0,0.0,204.0
0.0,25.0,75.0,0.0,206.0
1.0,29.0,70.0,0.0,212.0
0.0,23.0,77.0,0.0,210.0
0.0,33.0,67.0,0.0,216.0
0.0,28.0,72.0,0.0,210.0
0.0,26.0,74.0,0.0,219.0
0.0,28.0,72.0,0.0,211.0
0.0,28.0,72.0,0.0,208.0
0.0,21.0,79.0,0.0,210.0
0.0,26.0,74.0,0.0,207.0
0.0,28.0,72.0,0.0,203.0
0.0,23.0,77.0,0.0,203.0
0.0,24.0,76.0,0.0,202.0
0.0,33.0,67.0,0.0,215.0
0.0,29.0,71.0,0.0,204.0
0.0,34.0,66.0,0.0,209.0
0.0,34.0,66.0,0.0,211.0
0.0,26.0,74.0,0.0,224.0
0.0,31.0,69.0,0.0,200.0
0.0,26.0,74.0,0.0,203.0
1.0,34.0,65.0,0.0,196.0
0.0,20.0,80.0,0.0,217.0
0.0,33.0,67.0,0.0,185.0
0.0,27.0,73.0,0.0,218.0
0.0,23.0,77.0,0.0,216.0
0.0,27.0,73.0,0.0,210.0
1.0,27.0,72.0,0.0,230.0
1.0,28.0,71.0,0.0,210.0
0.0,23.0,77.0,0.0,204.0
2.0,29.0,69.0,0.0,210.0
0.0,27.0,73.0,0.0,219.0
0.0,25.0,75.0,0.0,199.0
0.0,28.0,72.0,0.0,217.0
1.0,29.0,70.0,0.0,219.0
0.0,28.0,72.0,0.0,210.0
0.0,19.0,81.0,0.0,215.0
0.0,38.0,62.0,0.0,201.0
0.0,21.0,79.0,0.0,220.0
0.0,31.0,69.0,0.0,208.0
0.0,31.0,69.0,0.0,218.0
0.0,23.0,77.0,0.0,204.0
2.0,19.0,79.0,0.0,225.0
0.0,26.0,74.0,0.0,198.0
0.0,37.0,63.0,0.0,192.0
0.0,30.0,70.0,0.0,215.0
0.0,29.0,71.0,0.0,199.0
0.0,23.0,77.0,0.0,195.0
1.0,28.0,71.0,0.0,196.0
0.0,34.0,66.0,0.0,208.0
0.0,31.0,69.0,0.0,198.0
0.0,29.0,71.0,0.0,198.0
0.0,30.0,70.0,0.0,225.0
0.0,27.0,73.0,0.0,201.0
0.0,30.0,70.0,0.0,207.0
0.0,26.0,74.0,0.0,215.0
0.0,30.0,70.0,0.0,220.0
0.0,27.0,73.0,0.0,204.0
0.0,31.0,69.0,0.0,192.0
0.0,31.0,69.0,0.0,211.0
0.0,33.0,67.0,0.0,207.0
0.0,28.0,72.0,0.0,221.0
0.0,27.0,73.0,0.0,210.0
0.0,22.0,78.0,0.0,214.0
0.0,32.0,68.0,0.0,212.0
0.0,24.0,76.0,0.0,212.0
1.0,29.0,70.0,0.0,198.0
0.0,31.0,69.0,0.0,207.0
0.0,37.0,63.0,0.0,197.0
0.0,27.0,73.0,0.0,205.0
0.0,26.0,74.0,0.0,201.0
0.0,23.0,77.0,0.0,217.0
0.0,27.0,73.0,0.0,201.0
0.0,30.0,70.0,0.0,216.0
0.0,27.0,73.0,0.0,201.0
0.0,21.0,79.0,0.0,221.0
0.0,24.0,76.0,0.0,204.0
0.0,30.0,70.0,0.0,205.0
0.0,39.0,61.0,0.0,194.0
0.0,34.0,66.0,0.0,199.0
0.0,23.0,77.0,0.0,208.0
0.0,29.0,71.0,0.0,215.0
0.0,26.0,74.0,0.0,223.0
1.0,25.0,74.0,0.0,214.0
0.0,26.0,74.0,0.0,222.0
0.0,24.0,76.0,0.0,215.0
2.0,28.0,70.0,0.0,201.0
1.0,26.0,73.0,0.0,213.0
2.0,29.0,69.0,0.0,203.0
1.0,27.0,72.0,0.0,217.0
0.0,26.0,74.0,0.0,213.0
0.0,23.0,77.0,0.0,207.0
1.0,29.0,70.0,0.0,199.0
0.0,34.0,66.0,0.0,201.0
0.0,30.0,70.0,0.0,196.0
