infections,diagnosed,susceptible,steps
16.0,19.0,65.0,3941.0
23.0,19.0,58.0,4281.0
26.0,32.0,42.0,3989.0
24.0,32.0,44.0,3801.0
19.0,24.0,57.0,3921.0
23.0,26.0,51.0,4002.0
11.0,19.0,70.0,3889.0
18.0,33.0,49.0,3823.0
22.0,27.0,51.0,4245.0
20.0,24.0,56.0,4020.0
13.0,22.0,65.0,4118.0
17.0,24.0,59.0,3786.0
23.0,23.0,54.0,4139.0
18.0,21.0,61.0,4091.0
12.0,25.0,63.0,3890.0
16.0,27.0,57.0,3857.0
18.0,24.0,58.0,3981.0
25.0,29.0,46.0,3960.0
5.0,20.0,75.0,3937.0
22.0,25.0,53.0,3639.0
28.0,23.0,49.0,4192.0
19.0,21.0,60.0,4113.0
15.0,18.0,67.0,4109.0
23.0,30.0,47.0,3811.0
25.0,15.0,60.0,4216.0
20.0,27.0,53.0,3960.0
11.0,27.0,62.0,3836.0
25.0,36.0,39.0,3763.0
8.0,21.0,71.0,3829.0
13.0,17.0,70.0,4141.0
15.0,14.0,71.0,4072.0
19.0,21.0,60.0,3858.0
17.0,25.0,58.0,3970.0
31.0,26.0,43.0,4054.0
24.0,27.0,49.0,3849.0
10.0,26.0,64.0,3876.0
21.0,25.0,54.0,3971.0
13.0,18.0,69.0,4150.0
22.0,18.0,60.0,4220.0
10.0,20.0,70.0,4024.0
18.0,17.0,65.0,3948.0
18.0,28.0,54.0,3928.0
24.0,24.0,52.0,4114.0
19.0,22.0,59.0,3977.0
23.0,22.0,55.0,4175.0
17.0,24.0,59.0,3901.0
18.0,25.0,57.0,3912.0
22.0,32.0,46.0,3757.0
21.0,28.0,51.0,3869.0
22.0,30.0,48.0,4107.0
15.0,17.0,68.0,4078.0
15.0,28.0,57.0,3816.0
23.0,27.0,50.0,3932.0
17.0,14.0,69.0,4108.0
14.0,23.0,63.0,3738.0
21.0,27.0,52.0,4010.0
13.0,14.0,73.0,3901.0
26.0,22.0,52.0,4063.0
16.0,27.0,57.0,4057.0
23.0,27.0,50.0,4107.0
18.0,19.0,63.0,3968.0
32.0,22.0,46.0,4076.0
19.0,20.0,61.0,4335.0
19.0,24.0,57.0,4091.0
18.0,34.0,48.0,3796.0
23.0,16.0,61.0,4246.0
34.0,27.0,39.0,4145.0
17.0,28.0,55.0,3874.0
27.0,19.0,54.0,4059.0
26.0,17.0,57.0,3959.0
24.0,24.0,52.0,3917.0
12.0,22.0,66.0,3925.0
16.0,20.0,64.0,4120.0
23.0,28.0,49.0,3939.0
15.0,28.0,57.0,3764.0
12.0,29.0,59.0,3978.0
22.0,25.0,53.0,3862.0
15.0,35.0,50.0,3665.0
16.0,28.0,56.0,3902.0
21.0,20.0,59.0,4107.0
18.0,18.0,64.0,4127.0
19.0,23.0,58.0,4053.0
27.0,21.0,52.0,4075.0
10.0,19.0,71.0,3803.0
16.0,21.0,63.0,4025.0
23.0,30.0,47.0,4041.0
23.0,21.0,56.0,4083.0
17.0,23.0,60.0,3958.0
13.0,16.0,71.0,4058.0
22.0,33.0,45.0,4116.0
18.0,28.0,54.0,3900.0
13.0,21.0,66.0,3820.0
17.0,33.0,50.0,3936.0
22.0,18.0,60.0,4166.0
17.0,29.0,54.0,3923.0
17.0,20.0,63.0,4032.0
28.0,29.0,43.0,3761.0
20.0,22.0,58.0,3822.0
15.0,29.0,56.0,3829.0
19.0,22.0,59.0,3970.0
4.0,10.0,86.0,4102.0
15.0,16.0,69.0,4031.0
19.0,24.0,57.0,3961.0
23.0,23.0,54.0,4143.0
22.0,25.0,53.0,3891.0
15.0,25.0,60.0,3929.0
22.0,39.0,39.0,3873.0
12.0,23.0,65.0,4124.0
15.0,20.0,65.0,3862.0
20.0,31.0,49.0,3558.0
23.0,30.0,47.0,4068.0
17.0,22.0,61.0,4165.0
20.0,24.0,56.0,4068.0
18.0,23.0,59.0,3957.0
16.0,18.0,66.0,4112.0
24.0,17.0,59.0,4071.0
18.0,15.0,67.0,4182.0
21.0,22.0,57.0,4059.0
13.0,19.0,68.0,4180.0
26.0,25.0,49.0,3993.0
18.0,24.0,58.0,4092.0
20.0,24.0,56.0,3880.0
24.0,25.0,51.0,4069.0
26.0,16.0,58.0,4161.0
14.0,21.0,65.0,4026.0
18.0,27.0,55.0,3871.0
24.0,27.0,49.0,3976.0
18.0,19.0,63.0,4155.0
22.0,27.0,51.0,4024.0
16.0,23.0,61.0,4052.0
15.0,17.0,68.0,3947.0
19.0,24.0,57.0,3945.0
26.0,26.0,48.0,3759.0
24.0,26.0,50.0,3846.0
13.0,17.0,70.0,4203.0
11.0,17.0,72.0,4026.0
15.0,18.0,67.0,4081.0
25.0,22.0,53.0,4005.0
17.0,25.0,58.0,3805.0
17.0,31.0,52.0,3934.0
12.0,23.0,65.0,3834.0
29.0,29.0,42.0,3879.0
19.0,21.0,60.0,4016.0
12.0,27.0,61.0,4027.0
12.0,13.0,75.0,4244.0
17.0,28.0,55.0,4053.0
17.0,21.0,62.0,3914.0
17.0,22.0,61.0,3814.0
15.0,22.0,63.0,3839.0
19.0,25.0,56.0,3918.0
23.0,20.0,57.0,4117.0
22.0,28.0,50.0,3926.0
18.0,31.0,51.0,3888.0
17.0,22.0,61.0,4139.0
16.0,27.0,57.0,3750.0
10.0,17.0,73.0,3975.0
16.0,35.0,49.0,3638.0
22.0,26.0,52.0,3921.0
22.0,26.0,52.0,3988.0
17.0,25.0,58.0,3826.0
22.0,26.0,52.0,3827.0
13.0,24.0,63.0,3908.0
15.0,24.0,61.0,4011.0
11.0,28.0,61.0,3719.0
22.0,24.0,54.0,3974.0
18.0,25.0,57.0,4032.0
21.0,26.0,53.0,4036.0
12.0,19.0,69.0,3965.0
17.0,24.0,59.0,3832.0
21.0,27.0,52.0,3808.0
15.0,20.0,65.0,3880.0
20.0,26.0,54.0,4054.0
16.0,26.0,58.0,3710.0
12.0,14.0,74.0,4106.0
24.0,31.0,45.0,3785.0
20.0,28.0,52.0,4093.0
16.0,27.0,57.0,4013.0
18.0,24.0,58.0,4036.0
20.0,26.0,54.0,3955.0
19.0,34.0,47.0,4018.0
22.0,26.0,52.0,3998.0
30.0,27.0,43.0,4040.0
21.0,32.0,47.0,3715.0
17.0,32.0,51.0,3934.0
20.0,30.0,50.0,3866.0
15.0,26.0,59.0,3979.0
19.0,26.0,55.0,4021.0
16.0,27.0,57.0,3947.0
9.0,18.0,73.0,4012.0
15.0,26.0,59.0,3897.0
14.0,16.0,70.0,4009.0
15.0,13.0,72.0,4289.0
17.0,19.0,64.0,3888.0
12.0,18.0,70.0,4167.0
15.0,21.0,64.0,3995.0
27.0,25.0,48.0,4057.0
19.0,26.0,55.0,4007.0
18.0,29.0,53.0,3900.0
25.0,31.0,44.0,3812.0
15.0,27.0,58.0,3809.0
16.0,17.0,67.0,4071.0
13.0,20.0,67.0,3849.0
26.0,24.0,50.0,3910.0
23.0,31.0,46.0,3708.0
