inf_prop,diag_prop,i0,beta_measure,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,total_immunized
0.55,0.5,5.0,1.0,995.0,859.0,698.0,643.0,598.0,569.0,555.0,552.0,551.0,550.0,550.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,444.0
0.55,0.5,5.0,1.0,995.0,795.0,697.0,636.0,597.0,579.0,561.0,551.0,531.0,521.0,521.0,520.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,476.0
0.55,0.5,5.0,1.0,995.0,798.0,740.0,718.0,706.0,696.0,693.0,687.0,686.0,684.0,683.0,683.0,683.0,682.0,682.0,682.0,682.0,682.0,682.0,682.0,682.0,682.0,682.0,682.0,682.0,682.0,318.0
0.55,0.5,5.0,1.0,995.0,756.0,673.0,610.0,580.0,557.0,541.0,530.0,529.0,529.0,529.0,529.0,529.0,529.0,529.0,529.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,468.0
0.55,0.5,5.0,1.0,995.0,782.0,702.0,647.0,608.0,571.0,548.0,532.0,517.0,496.0,489.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,506.0
0.55,0.5,5.0,1.0,995.0,784.0,723.0,705.0,693.0,687.0,676.0,673.0,673.0,673.0,672.0,672.0,672.0,672.0,672.0,672.0,672.0,672.0,672.0,672.0,672.0,672.0,672.0,672.0,672.0,672.0,326.0
0.55,0.5,5.0,1.0,995.0,801.0,742.0,719.0,694.0,685.0,680.0,677.0,669.0,664.0,659.0,649.0,641.0,632.0,628.0,625.0,617.0,614.0,612.0,612.0,612.0,612.0,612.0,612.0,612.0,612.0,379.0
0.55,0.5,5.0,1.0,995.0,767.0,715.0,694.0,683.0,672.0,666.0,661.0,656.0,654.0,654.0,653.0,650.0,648.0,645.0,645.0,645.0,645.0,645.0,645.0,645.0,645.0,645.0,645.0,645.0,645.0,351.0
0.55,0.5,5.0,1.0,995.0,834.0,783.0,753.0,731.0,717.0,707.0,701.0,700.0,700.0,698.0,697.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,299.0
0.55,0.5,5.0,1.0,995.0,774.0,721.0,692.0,677.0,668.0,662.0,658.0,655.0,653.0,653.0,653.0,653.0,653.0,652.0,652.0,652.0,652.0,652.0,652.0,652.0,652.0,652.0,652.0,652.0,652.0,344.0
