infections,diagnosed,susceptible,steps
2.0,9.0,89.0,4215.0
6.0,9.0,85.0,4240.0
5.0,8.0,87.0,4442.0
5.0,7.0,88.0,4091.0
6.0,7.0,87.0,4317.0
1.0,11.0,88.0,4169.0
5.0,9.0,86.0,4312.0
5.0,9.0,86.0,4198.0
6.0,10.0,84.0,4238.0
4.0,14.0,82.0,4286.0
6.0,7.0,87.0,4245.0
5.0,10.0,85.0,4195.0
8.0,9.0,83.0,4176.0
8.0,6.0,86.0,4283.0
3.0,8.0,89.0,4200.0
3.0,9.0,88.0,4229.0
2.0,9.0,89.0,4102.0
7.0,11.0,82.0,4198.0
3.0,10.0,87.0,4051.0
5.0,10.0,85.0,4156.0
3.0,8.0,89.0,4294.0
4.0,9.0,87.0,4313.0
6.0,11.0,83.0,4189.0
4.0,10.0,86.0,4177.0
4.0,10.0,86.0,4182.0
5.0,8.0,87.0,4230.0
3.0,12.0,85.0,4057.0
4.0,11.0,85.0,3996.0
5.0,8.0,87.0,4222.0
4.0,11.0,85.0,4208.0
8.0,9.0,83.0,4324.0
2.0,10.0,88.0,4159.0
7.0,12.0,81.0,4263.0
3.0,12.0,85.0,4158.0
4.0,13.0,83.0,4102.0
5.0,9.0,86.0,4275.0
2.0,12.0,86.0,4283.0
9.0,8.0,83.0,4110.0
4.0,10.0,86.0,4179.0
6.0,11.0,83.0,4220.0
4.0,11.0,85.0,4151.0
4.0,13.0,83.0,4065.0
4.0,10.0,86.0,4182.0
6.0,13.0,81.0,4233.0
3.0,10.0,87.0,4065.0
2.0,10.0,88.0,4123.0
6.0,11.0,83.0,4159.0
8.0,11.0,81.0,4116.0
7.0,11.0,82.0,4045.0
6.0,10.0,84.0,4035.0
4.0,11.0,85.0,4294.0
4.0,7.0,89.0,4263.0
4.0,10.0,86.0,4336.0
5.0,8.0,87.0,4354.0
8.0,12.0,80.0,3984.0
5.0,6.0,89.0,4175.0
3.0,10.0,87.0,4226.0
2.0,11.0,87.0,3920.0
6.0,7.0,87.0,4079.0
9.0,7.0,84.0,4339.0
9.0,10.0,81.0,4127.0
6.0,15.0,79.0,4098.0
6.0,9.0,85.0,4086.0
8.0,4.0,88.0,4376.0
5.0,8.0,87.0,4110.0
9.0,10.0,81.0,4368.0
9.0,9.0,82.0,4123.0
4.0,9.0,87.0,4213.0
4.0,10.0,86.0,4208.0
4.0,8.0,88.0,4158.0
3.0,8.0,89.0,4017.0
1.0,9.0,90.0,4038.0
5.0,10.0,85.0,4165.0
4.0,12.0,84.0,4219.0
8.0,9.0,83.0,4149.0
2.0,12.0,86.0,4282.0
3.0,9.0,88.0,4105.0
2.0,13.0,85.0,4019.0
3.0,12.0,85.0,4186.0
6.0,7.0,87.0,4239.0
6.0,11.0,83.0,4155.0
5.0,7.0,88.0,4258.0
10.0,5.0,85.0,4392.0
4.0,11.0,85.0,4257.0
9.0,10.0,81.0,4067.0
2.0,9.0,89.0,4167.0
7.0,9.0,84.0,4148.0
3.0,10.0,87.0,4133.0
5.0,9.0,86.0,4199.0
5.0,8.0,87.0,4306.0
1.0,12.0,87.0,4101.0
7.0,9.0,84.0,4150.0
3.0,8.0,89.0,4265.0
6.0,8.0,86.0,4185.0
6.0,15.0,79.0,4005.0
