S,I,D,R,steps
0.0,22.0,78.0,0.0,4515.0
0.0,19.0,81.0,0.0,3739.0
0.0,21.0,79.0,0.0,3163.0
0.0,24.0,76.0,0.0,3660.0
0.0,22.0,78.0,0.0,3383.0
0.0,26.0,74.0,0.0,2925.0
0.0,21.0,79.0,0.0,3190.0
0.0,20.0,80.0,0.0,3205.0
0.0,25.0,75.0,0.0,3461.0
0.0,18.0,82.0,0.0,3071.0
0.0,24.0,76.0,0.0,3423.0
0.0,25.0,75.0,0.0,3403.0
0.0,25.0,75.0,0.0,4076.0
0.0,19.0,81.0,0.0,3169.0
0.0,21.0,79.0,0.0,2985.0
0.0,25.0,75.0,0.0,3610.0
0.0,17.0,83.0,0.0,3985.0
0.0,22.0,78.0,0.0,3548.0
0.0,23.0,77.0,0.0,3958.0
0.0,16.0,84.0,0.0,4019.0
0.0,12.0,88.0,0.0,3232.0
0.0,22.0,78.0,0.0,2979.0
0.0,26.0,74.0,0.0,3388.0
0.0,30.0,70.0,0.0,3263.0
0.0,20.0,80.0,0.0,3231.0
0.0,20.0,80.0,0.0,3187.0
0.0,21.0,79.0,0.0,3252.0
0.0,19.0,81.0,0.0,3773.0
0.0,21.0,79.0,0.0,3435.0
0.0,24.0,76.0,0.0,3910.0
0.0,25.0,75.0,0.0,3451.0
0.0,27.0,73.0,0.0,3937.0
0.0,20.0,80.0,0.0,3163.0
0.0,24.0,76.0,0.0,3076.0
0.0,22.0,78.0,0.0,2680.0
0.0,21.0,79.0,0.0,3666.0
0.0,21.0,79.0,0.0,3846.0
0.0,27.0,73.0,0.0,3567.0
0.0,23.0,77.0,0.0,3210.0
0.0,22.0,78.0,0.0,3216.0
0.0,14.0,86.0,0.0,4243.0
0.0,20.0,80.0,0.0,3671.0
0.0,30.0,70.0,0.0,2762.0
0.0,21.0,79.0,0.0,4147.0
0.0,18.0,82.0,0.0,3124.0
0.0,21.0,79.0,0.0,3906.0
0.0,22.0,78.0,0.0,3661.0
0.0,25.0,75.0,0.0,3085.0
0.0,30.0,70.0,0.0,3553.0
0.0,27.0,73.0,0.0,3733.0
0.0,17.0,83.0,0.0,2733.0
0.0,21.0,79.0,0.0,2600.0
0.0,26.0,74.0,0.0,4197.0
0.0,19.0,81.0,0.0,3518.0
0.0,27.0,73.0,0.0,2744.0
0.0,22.0,78.0,0.0,3421.0
0.0,20.0,80.0,0.0,4294.0
0.0,22.0,78.0,0.0,3782.0
0.0,24.0,76.0,0.0,2849.0
0.0,20.0,80.0,0.0,3302.0
0.0,26.0,74.0,0.0,4207.0
0.0,18.0,82.0,0.0,3411.0
0.0,22.0,78.0,0.0,2978.0
0.0,22.0,78.0,0.0,3037.0
0.0,30.0,70.0,0.0,3633.0
0.0,22.0,78.0,0.0,4060.0
0.0,19.0,81.0,0.0,3196.0
0.0,19.0,81.0,0.0,3113.0
0.0,19.0,81.0,0.0,3409.0
0.0,28.0,72.0,0.0,2859.0
0.0,22.0,78.0,0.0,2955.0
0.0,18.0,82.0,0.0,3413.0
0.0,20.0,80.0,0.0,3679.0
0.0,31.0,69.0,0.0,3477.0
0.0,18.0,82.0,0.0,2659.0
0.0,26.0,74.0,0.0,3301.0
0.0,24.0,76.0,0.0,3598.0
0.0,13.0,87.0,0.0,3365.0
0.0,22.0,78.0,0.0,3505.0
0.0,21.0,79.0,0.0,2402.0
0.0,24.0,76.0,0.0,3353.0
0.0,20.0,80.0,0.0,2552.0
0.0,20.0,80.0,0.0,3722.0
0.0,15.0,85.0,0.0,3098.0
0.0,20.0,80.0,0.0,3455.0
0.0,23.0,77.0,0.0,3053.0
0.0,20.0,80.0,0.0,3720.0
0.0,30.0,70.0,0.0,3132.0
0.0,24.0,76.0,0.0,3741.0
0.0,20.0,80.0,0.0,2791.0
0.0,20.0,80.0,0.0,3422.0
0.0,28.0,72.0,0.0,3552.0
0.0,24.0,76.0,0.0,2518.0
0.0,14.0,86.0,0.0,3074.0
0.0,25.0,75.0,0.0,3546.0
0.0,26.0,74.0,0.0,2606.0
0.0,24.0,76.0,0.0,3525.0
0.0,27.0,73.0,0.0,3234.0
0.0,23.0,77.0,0.0,3298.0
0.0,19.0,81.0,0.0,3298.0
0.0,23.0,77.0,0.0,3263.0
0.0,22.0,78.0,0.0,3069.0
0.0,20.0,80.0,0.0,3733.0
0.0,23.0,77.0,0.0,3254.0
0.0,19.0,81.0,0.0,2761.0
0.0,25.0,75.0,0.0,3694.0
0.0,18.0,82.0,0.0,3875.0
0.0,22.0,78.0,0.0,3487.0
0.0,24.0,76.0,0.0,3439.0
0.0,24.0,76.0,0.0,3257.0
0.0,19.0,81.0,0.0,3232.0
0.0,16.0,84.0,0.0,3286.0
0.0,22.0,78.0,0.0,2661.0
0.0,20.0,80.0,0.0,4178.0
0.0,24.0,76.0,0.0,3002.0
0.0,26.0,74.0,0.0,3484.0
0.0,22.0,78.0,0.0,3030.0
0.0,26.0,74.0,0.0,3080.0
0.0,24.0,76.0,0.0,3932.0
0.0,28.0,72.0,0.0,3584.0
0.0,25.0,75.0,0.0,3707.0
0.0,22.0,78.0,0.0,3172.0
0.0,21.0,79.0,0.0,2978.0
0.0,19.0,81.0,0.0,3795.0
0.0,21.0,79.0,0.0,3532.0
0.0,22.0,78.0,0.0,2963.0
0.0,22.0,78.0,0.0,3321.0
0.0,20.0,80.0,0.0,3591.0
0.0,23.0,77.0,0.0,2953.0
0.0,28.0,72.0,0.0,3357.0
0.0,30.0,70.0,0.0,3217.0
0.0,24.0,76.0,0.0,2606.0
0.0,22.0,78.0,0.0,4104.0
0.0,26.0,74.0,0.0,3289.0
0.0,20.0,80.0,0.0,3788.0
0.0,25.0,75.0,0.0,3402.0
0.0,25.0,75.0,0.0,3687.0
0.0,18.0,82.0,0.0,4224.0
0.0,20.0,80.0,0.0,2760.0
0.0,28.0,72.0,0.0,3477.0
0.0,19.0,81.0,0.0,2965.0
0.0,19.0,81.0,0.0,3925.0
