S,I,D,R,steps
36.0,24.0,40.0,0.0,99.0
24.0,30.0,46.0,0.0,119.0
15.0,35.0,50.0,0.0,135.0
27.0,28.0,45.0,0.0,119.0
21.0,31.0,48.0,0.0,122.0
30.0,30.0,40.0,0.0,110.0
29.0,37.0,34.0,0.0,102.0
19.0,31.0,50.0,0.0,128.0
19.0,33.0,48.0,0.0,132.0
37.0,25.0,38.0,0.0,100.0
23.0,34.0,43.0,0.0,117.0
29.0,30.0,41.0,0.0,109.0
28.0,34.0,38.0,0.0,110.0
24.0,36.0,40.0,0.0,115.0
28.0,26.0,46.0,0.0,120.0
25.0,29.0,46.0,0.0,120.0
21.0,35.0,44.0,0.0,118.0
17.0,39.0,44.0,0.0,125.0
17.0,41.0,42.0,0.0,121.0
26.0,31.0,43.0,0.0,117.0
22.0,32.0,46.0,0.0,126.0
36.0,23.0,41.0,0.0,102.0
12.0,32.0,56.0,0.0,143.0
35.0,27.0,38.0,0.0,100.0
22.0,31.0,47.0,0.0,123.0
29.0,30.0,41.0,0.0,108.0
21.0,31.0,48.0,0.0,125.0
20.0,30.0,50.0,0.0,134.0
28.0,33.0,39.0,0.0,110.0
22.0,33.0,45.0,0.0,125.0
20.0,30.0,50.0,0.0,125.0
24.0,37.0,39.0,0.0,122.0
22.0,42.0,36.0,0.0,114.0
13.0,33.0,54.0,0.0,138.0
18.0,47.0,35.0,0.0,118.0
47.0,21.0,32.0,0.0,80.0
19.0,46.0,35.0,0.0,117.0
25.0,32.0,43.0,0.0,123.0
17.0,33.0,50.0,0.0,132.0
27.0,36.0,37.0,0.0,105.0
20.0,26.0,54.0,0.0,138.0
21.0,35.0,44.0,0.0,118.0
20.0,36.0,44.0,0.0,124.0
33.0,30.0,37.0,0.0,107.0
26.0,43.0,31.0,0.0,105.0
23.0,25.0,52.0,0.0,129.0
27.0,24.0,49.0,0.0,123.0
19.0,28.0,53.0,0.0,135.0
27.0,30.0,43.0,0.0,113.0
18.0,38.0,44.0,0.0,122.0
37.0,26.0,37.0,0.0,96.0
37.0,26.0,37.0,0.0,108.0
