infections,diagnosed,susceptible,steps
31.0,41.0,28.0,3793.0
34.0,45.0,21.0,3833.0
29.0,51.0,20.0,3670.0
37.0,38.0,25.0,3518.0
35.0,39.0,26.0,3917.0
39.0,35.0,26.0,3673.0
29.0,47.0,24.0,3847.0
34.0,38.0,28.0,3683.0
40.0,37.0,23.0,4035.0
34.0,37.0,29.0,3654.0
34.0,35.0,31.0,3890.0
31.0,33.0,36.0,3748.0
33.0,48.0,19.0,3421.0
39.0,29.0,32.0,3912.0
34.0,45.0,21.0,3578.0
29.0,47.0,24.0,3722.0
42.0,43.0,15.0,3755.0
33.0,41.0,26.0,3753.0
28.0,48.0,24.0,3778.0
27.0,48.0,25.0,3520.0
33.0,39.0,28.0,3911.0
30.0,34.0,36.0,3682.0
35.0,43.0,22.0,3625.0
30.0,37.0,33.0,3616.0
32.0,43.0,25.0,3583.0
36.0,43.0,21.0,3930.0
37.0,45.0,18.0,3704.0
32.0,47.0,21.0,3619.0
29.0,45.0,26.0,3714.0
29.0,38.0,33.0,3759.0
39.0,32.0,29.0,3862.0
39.0,41.0,20.0,3933.0
35.0,40.0,25.0,3573.0
27.0,32.0,41.0,3883.0
30.0,42.0,28.0,3774.0
35.0,47.0,18.0,3821.0
32.0,54.0,14.0,3583.0
32.0,42.0,26.0,3862.0
30.0,48.0,22.0,3790.0
36.0,43.0,21.0,3692.0
30.0,42.0,28.0,3764.0
36.0,34.0,30.0,3958.0
44.0,37.0,19.0,3647.0
37.0,43.0,20.0,3703.0
41.0,37.0,22.0,3730.0
25.0,40.0,35.0,3721.0
35.0,41.0,24.0,3685.0
36.0,37.0,27.0,3862.0
34.0,49.0,17.0,3845.0
40.0,41.0,19.0,3792.0
31.0,44.0,25.0,3556.0
37.0,47.0,16.0,3787.0
35.0,35.0,30.0,3752.0
23.0,33.0,44.0,3840.0
34.0,43.0,23.0,3953.0
38.0,40.0,22.0,3765.0
32.0,39.0,29.0,3905.0
31.0,46.0,23.0,3646.0
