infections,diagnosed,susceptible,steps
7.0,11.0,82.0,2241.0
3.0,13.0,84.0,2150.0
17.0,15.0,68.0,2148.0
18.0,13.0,69.0,2237.0
2.0,15.0,83.0,2065.0
6.0,11.0,83.0,2163.0
5.0,18.0,77.0,2210.0
15.0,16.0,69.0,2124.0
7.0,11.0,82.0,2196.0
5.0,8.0,87.0,2011.0
2.0,11.0,87.0,2189.0
10.0,16.0,74.0,2073.0
5.0,10.0,85.0,2256.0
9.0,10.0,81.0,2182.0
9.0,13.0,78.0,2141.0
12.0,12.0,76.0,2151.0
6.0,12.0,82.0,2171.0
4.0,14.0,82.0,2162.0
5.0,10.0,85.0,2072.0
2.0,12.0,86.0,2152.0
8.0,17.0,75.0,2182.0
7.0,13.0,80.0,2234.0
8.0,11.0,81.0,2258.0
5.0,11.0,84.0,2197.0
5.0,15.0,80.0,1985.0
8.0,10.0,82.0,2177.0
9.0,16.0,75.0,2199.0
2.0,12.0,86.0,2174.0
6.0,19.0,75.0,2091.0
12.0,14.0,74.0,2244.0
7.0,13.0,80.0,2181.0
7.0,16.0,77.0,2127.0
11.0,7.0,82.0,2189.0
3.0,11.0,86.0,2196.0
7.0,9.0,84.0,2231.0
3.0,10.0,87.0,2226.0
6.0,11.0,83.0,2266.0
6.0,9.0,85.0,2185.0
4.0,11.0,85.0,2261.0
8.0,9.0,83.0,2103.0
5.0,12.0,83.0,2082.0
11.0,16.0,73.0,2078.0
8.0,16.0,76.0,2142.0
13.0,10.0,77.0,2150.0
16.0,12.0,72.0,2260.0
6.0,15.0,79.0,2173.0
10.0,19.0,71.0,2262.0
5.0,7.0,88.0,2205.0
11.0,16.0,73.0,2338.0
10.0,11.0,79.0,2166.0
3.0,11.0,86.0,2143.0
14.0,12.0,74.0,2172.0
3.0,12.0,85.0,2135.0
13.0,16.0,71.0,2117.0
5.0,11.0,84.0,2192.0
6.0,12.0,82.0,2026.0
6.0,15.0,79.0,2062.0
7.0,14.0,79.0,2206.0
9.0,14.0,77.0,2297.0
10.0,13.0,77.0,2218.0
10.0,14.0,76.0,2140.0
7.0,9.0,84.0,2244.0
8.0,11.0,81.0,2264.0
9.0,10.0,81.0,2247.0
3.0,10.0,87.0,2209.0
10.0,16.0,74.0,2091.0
8.0,14.0,78.0,2124.0
4.0,11.0,85.0,2217.0
4.0,10.0,86.0,2039.0
8.0,12.0,80.0,2087.0
5.0,12.0,83.0,2226.0
7.0,12.0,81.0,2188.0
15.0,15.0,70.0,2193.0
18.0,16.0,66.0,2177.0
4.0,14.0,82.0,2236.0
7.0,11.0,82.0,2225.0
7.0,13.0,80.0,2168.0
5.0,10.0,85.0,2246.0
3.0,13.0,84.0,2074.0
11.0,11.0,78.0,2277.0
7.0,11.0,82.0,2197.0
7.0,9.0,84.0,2142.0
5.0,15.0,80.0,2097.0
9.0,13.0,78.0,2214.0
3.0,11.0,86.0,2077.0
11.0,13.0,76.0,2226.0
4.0,10.0,86.0,2128.0
8.0,15.0,77.0,2222.0
10.0,12.0,78.0,2239.0
8.0,11.0,81.0,2245.0
10.0,10.0,80.0,2165.0
5.0,15.0,80.0,2106.0
3.0,8.0,89.0,2294.0
8.0,8.0,84.0,2210.0
7.0,13.0,80.0,2185.0
7.0,12.0,81.0,2160.0
8.0,12.0,80.0,2074.0
9.0,12.0,79.0,2336.0
4.0,12.0,84.0,2140.0
5.0,9.0,86.0,2200.0
16.0,14.0,70.0,2190.0
4.0,15.0,81.0,2113.0
6.0,10.0,84.0,2160.0
