infections,diagnosed,susceptible,steps
23.0,77.0,0.0,2580.0
21.0,79.0,0.0,2880.0
22.0,78.0,0.0,2542.0
20.0,80.0,0.0,2613.0
26.0,74.0,0.0,3008.0
23.0,77.0,0.0,2902.0
20.0,80.0,0.0,2785.0
26.0,74.0,0.0,2969.0
24.0,76.0,0.0,2585.0
18.0,82.0,0.0,2568.0
27.0,73.0,0.0,2961.0
27.0,73.0,0.0,2744.0
18.0,82.0,0.0,2836.0
20.0,80.0,0.0,2709.0
18.0,82.0,0.0,2747.0
22.0,78.0,0.0,2893.0
17.0,83.0,0.0,2595.0
18.0,82.0,0.0,2783.0
20.0,80.0,0.0,2640.0
23.0,77.0,0.0,2682.0
31.0,69.0,0.0,2850.0
19.0,81.0,0.0,2575.0
23.0,77.0,0.0,2742.0
29.0,71.0,0.0,2801.0
19.0,81.0,0.0,2859.0
20.0,80.0,0.0,2726.0
26.0,74.0,0.0,2706.0
23.0,77.0,0.0,2972.0
21.0,79.0,0.0,2764.0
21.0,79.0,0.0,2655.0
21.0,79.0,0.0,2762.0
23.0,77.0,0.0,2670.0
26.0,74.0,0.0,2688.0
32.0,68.0,0.0,2901.0
19.0,81.0,0.0,2576.0
24.0,76.0,0.0,2725.0
22.0,78.0,0.0,2933.0
29.0,71.0,0.0,2982.0
17.0,83.0,0.0,2526.0
22.0,78.0,0.0,2766.0
25.0,75.0,0.0,2614.0
26.0,74.0,0.0,2772.0
20.0,80.0,0.0,2688.0
21.0,79.0,0.0,2907.0
26.0,74.0,0.0,2982.0
34.0,66.0,0.0,2990.0
22.0,78.0,0.0,2731.0
25.0,75.0,0.0,2704.0
15.0,85.0,0.0,2542.0
27.0,73.0,0.0,2804.0
23.0,77.0,0.0,2747.0
24.0,76.0,0.0,2985.0
22.0,78.0,0.0,2603.0
21.0,79.0,0.0,2667.0
20.0,80.0,0.0,2840.0
29.0,71.0,0.0,2804.0
19.0,81.0,0.0,2560.0
27.0,73.0,0.0,2847.0
23.0,77.0,0.0,2553.0
26.0,74.0,0.0,2688.0
25.0,75.0,0.0,2713.0
23.0,77.0,0.0,2699.0
23.0,77.0,0.0,2563.0
22.0,78.0,0.0,2745.0
17.0,83.0,0.0,2650.0
24.0,76.0,0.0,2716.0
21.0,79.0,0.0,2855.0
26.0,74.0,0.0,2635.0
20.0,80.0,0.0,2567.0
19.0,81.0,0.0,2686.0
25.0,75.0,0.0,2587.0
19.0,81.0,0.0,2629.0
23.0,77.0,0.0,2737.0
29.0,71.0,0.0,2732.0
23.0,77.0,0.0,2871.0
23.0,77.0,0.0,2699.0
19.0,81.0,0.0,2636.0
22.0,78.0,0.0,2463.0
25.0,75.0,0.0,2659.0
24.0,76.0,0.0,2869.0
26.0,74.0,0.0,2815.0
26.0,74.0,0.0,2650.0
19.0,81.0,0.0,2775.0
28.0,72.0,0.0,2738.0
26.0,74.0,0.0,2850.0
20.0,80.0,0.0,2491.0
21.0,79.0,0.0,2740.0
21.0,79.0,0.0,2721.0
27.0,73.0,0.0,2744.0
20.0,80.0,0.0,2720.0
25.0,75.0,0.0,2832.0
21.0,79.0,0.0,2937.0
29.0,71.0,0.0,2793.0
22.0,78.0,0.0,2741.0
22.0,78.0,0.0,2896.0
21.0,79.0,0.0,2549.0
24.0,76.0,0.0,2695.0
21.0,79.0,0.0,2632.0
26.0,74.0,0.0,2698.0
23.0,77.0,0.0,2863.0
29.0,71.0,0.0,2891.0
32.0,68.0,0.0,2876.0
28.0,72.0,0.0,2916.0
19.0,81.0,0.0,2599.0
24.0,76.0,0.0,2799.0
20.0,80.0,0.0,2692.0
27.0,73.0,0.0,2984.0
25.0,75.0,0.0,2787.0
22.0,78.0,0.0,2828.0
22.0,78.0,0.0,2934.0
26.0,74.0,0.0,2662.0
22.0,78.0,0.0,2613.0
24.0,76.0,0.0,2754.0
22.0,78.0,0.0,2866.0
24.0,76.0,0.0,2829.0
22.0,78.0,0.0,2652.0
15.0,85.0,0.0,2598.0
20.0,80.0,0.0,2773.0
21.0,79.0,0.0,2717.0
19.0,81.0,0.0,2668.0
25.0,75.0,0.0,2731.0
28.0,72.0,0.0,2653.0
24.0,76.0,0.0,2495.0
21.0,79.0,0.0,2840.0
21.0,79.0,0.0,2962.0
27.0,73.0,0.0,2533.0
28.0,72.0,0.0,2698.0
22.0,78.0,0.0,2785.0
25.0,75.0,0.0,2882.0
30.0,70.0,0.0,3037.0
28.0,72.0,0.0,3073.0
29.0,71.0,0.0,2671.0
22.0,78.0,0.0,2602.0
23.0,77.0,0.0,2808.0
17.0,83.0,0.0,2595.0
23.0,77.0,0.0,2766.0
26.0,74.0,0.0,2736.0
28.0,72.0,0.0,2914.0
20.0,80.0,0.0,2527.0
25.0,75.0,0.0,2858.0
23.0,77.0,0.0,2685.0
18.0,82.0,0.0,2670.0
25.0,75.0,0.0,2899.0
23.0,77.0,0.0,2756.0
21.0,79.0,0.0,2816.0
16.0,84.0,0.0,2557.0
26.0,74.0,0.0,2954.0
26.0,74.0,0.0,2743.0
21.0,79.0,0.0,2652.0
29.0,71.0,0.0,2884.0
21.0,79.0,0.0,2776.0
16.0,84.0,0.0,2748.0
24.0,76.0,0.0,2513.0
16.0,84.0,0.0,2554.0
21.0,79.0,0.0,2643.0
26.0,74.0,0.0,2884.0
20.0,80.0,0.0,2628.0
27.0,73.0,0.0,2878.0
22.0,78.0,0.0,2772.0
19.0,81.0,0.0,2705.0
21.0,79.0,0.0,2764.0
29.0,71.0,0.0,2964.0
23.0,77.0,0.0,2706.0
24.0,76.0,0.0,2825.0
22.0,78.0,0.0,2931.0
27.0,73.0,0.0,2775.0
28.0,72.0,0.0,2784.0
22.0,78.0,0.0,2528.0
22.0,78.0,0.0,2755.0
22.0,78.0,0.0,2598.0
24.0,76.0,0.0,2793.0
25.0,75.0,0.0,2921.0
21.0,79.0,0.0,2700.0
