infections,diagnosed,susceptible,steps
23.0,75.0,2.0,55531.0
24.0,74.0,2.0,55062.0
28.0,69.0,3.0,57268.0
38.0,62.0,0.0,58491.0
21.0,77.0,2.0,54574.0
29.0,69.0,2.0,59811.0
27.0,70.0,3.0,56922.0
22.0,74.0,4.0,54506.0
29.0,69.0,2.0,56911.0
26.0,71.0,3.0,56289.0
28.0,70.0,2.0,55967.0
29.0,69.0,2.0,58457.0
28.0,72.0,0.0,56096.0
25.0,72.0,3.0,57116.0
36.0,63.0,1.0,60432.0
21.0,77.0,2.0,55014.0
32.0,66.0,2.0,59419.0
30.0,68.0,2.0,58065.0
26.0,73.0,1.0,56117.0
25.0,74.0,1.0,54646.0
21.0,77.0,2.0,54612.0
31.0,68.0,1.0,59338.0
28.0,72.0,0.0,55714.0
30.0,68.0,2.0,57853.0
35.0,65.0,0.0,58075.0
28.0,71.0,1.0,57206.0
20.0,77.0,3.0,53172.0
23.0,74.0,3.0,57116.0
33.0,66.0,1.0,59046.0
28.0,71.0,1.0,55913.0
24.0,74.0,2.0,57398.0
31.0,67.0,2.0,57329.0
24.0,74.0,2.0,57051.0
28.0,70.0,2.0,55917.0
33.0,64.0,3.0,57780.0
33.0,64.0,3.0,58534.0
18.0,78.0,4.0,54996.0
28.0,70.0,2.0,55382.0
29.0,71.0,0.0,55828.0
27.0,72.0,1.0,55921.0
22.0,75.0,3.0,56576.0
29.0,69.0,2.0,58662.0
27.0,71.0,2.0,55689.0
27.0,72.0,1.0,57355.0
26.0,72.0,2.0,55507.0
24.0,73.0,3.0,57746.0
24.0,73.0,3.0,58019.0
30.0,68.0,2.0,58595.0
29.0,68.0,3.0,58478.0
27.0,71.0,2.0,56186.0
27.0,70.0,3.0,57333.0
22.0,76.0,2.0,57539.0
36.0,63.0,1.0,59074.0
29.0,68.0,3.0,57052.0
32.0,66.0,2.0,57922.0
27.0,73.0,0.0,55865.0
32.0,66.0,2.0,58082.0
34.0,64.0,2.0,58141.0
31.0,68.0,1.0,56788.0
26.0,73.0,1.0,55211.0
32.0,66.0,2.0,59735.0
35.0,64.0,1.0,58034.0
33.0,66.0,1.0,57257.0
23.0,74.0,3.0,54478.0
25.0,71.0,4.0,56745.0
17.0,82.0,1.0,54012.0
22.0,77.0,1.0,56340.0
26.0,73.0,1.0,57277.0
29.0,69.0,2.0,57203.0
25.0,74.0,1.0,56203.0
29.0,70.0,1.0,58595.0
28.0,71.0,1.0,56280.0
21.0,77.0,2.0,54962.0
28.0,72.0,0.0,56977.0
30.0,68.0,2.0,56277.0
30.0,68.0,2.0,58335.0
29.0,70.0,1.0,56530.0
22.0,78.0,0.0,55186.0
19.0,79.0,2.0,54634.0
30.0,70.0,0.0,58070.0
27.0,69.0,4.0,56435.0
24.0,74.0,2.0,56108.0
26.0,72.0,2.0,56707.0
25.0,73.0,2.0,57797.0
27.0,73.0,0.0,55696.0
28.0,69.0,3.0,57384.0
25.0,73.0,2.0,57053.0
28.0,70.0,2.0,55790.0
27.0,71.0,2.0,56804.0
37.0,63.0,0.0,59617.0
27.0,70.0,3.0,55665.0
32.0,66.0,2.0,56437.0
27.0,72.0,1.0,56735.0
29.0,70.0,1.0,58360.0
30.0,68.0,2.0,58796.0
28.0,69.0,3.0,57700.0
32.0,67.0,1.0,57849.0
26.0,71.0,3.0,58114.0
25.0,74.0,1.0,58627.0
25.0,73.0,2.0,56005.0
27.0,72.0,1.0,57700.0
26.0,73.0,1.0,57603.0
28.0,71.0,1.0,57853.0
24.0,74.0,2.0,57139.0
30.0,69.0,1.0,57755.0
24.0,75.0,1.0,54510.0
35.0,64.0,1.0,57954.0
31.0,68.0,1.0,57543.0
31.0,68.0,1.0,56349.0
28.0,70.0,2.0,58183.0
26.0,72.0,2.0,55150.0
28.0,71.0,1.0,57046.0
27.0,73.0,0.0,55894.0
27.0,72.0,1.0,54228.0
27.0,72.0,1.0,56498.0
26.0,72.0,2.0,57082.0
31.0,69.0,0.0,57264.0
27.0,71.0,2.0,55087.0
23.0,75.0,2.0,57611.0
31.0,68.0,1.0,57242.0
35.0,64.0,1.0,58476.0
26.0,71.0,3.0,56299.0
29.0,70.0,1.0,57716.0
22.0,77.0,1.0,57409.0
26.0,72.0,2.0,56477.0
21.0,78.0,1.0,57094.0
29.0,69.0,2.0,58175.0
27.0,72.0,1.0,58615.0
24.0,74.0,2.0,56288.0
28.0,72.0,0.0,57591.0
27.0,71.0,2.0,57029.0
29.0,71.0,0.0,57904.0
26.0,71.0,3.0,57619.0
26.0,73.0,1.0,56110.0
33.0,67.0,0.0,57325.0
26.0,71.0,3.0,59292.0
29.0,71.0,0.0,56756.0
23.0,75.0,2.0,56888.0
29.0,69.0,2.0,56802.0
28.0,69.0,3.0,57256.0
28.0,70.0,2.0,56423.0
34.0,65.0,1.0,58958.0
27.0,72.0,1.0,56235.0
28.0,72.0,0.0,56723.0
33.0,65.0,2.0,60242.0
28.0,70.0,2.0,55032.0
29.0,70.0,1.0,55597.0
30.0,67.0,3.0,57687.0
28.0,72.0,0.0,57881.0
21.0,78.0,1.0,54597.0
24.0,75.0,1.0,57092.0
22.0,76.0,2.0,55211.0
29.0,68.0,3.0,57653.0
29.0,69.0,2.0,57626.0
31.0,67.0,2.0,59096.0
20.0,78.0,2.0,54795.0
28.0,71.0,1.0,58862.0
26.0,72.0,2.0,55347.0
27.0,71.0,2.0,56320.0
26.0,73.0,1.0,56722.0
29.0,70.0,1.0,56735.0
31.0,67.0,2.0,56158.0
26.0,72.0,2.0,56035.0
31.0,68.0,1.0,55918.0
20.0,78.0,2.0,56365.0
28.0,70.0,2.0,56056.0
25.0,72.0,3.0,56641.0
31.0,67.0,2.0,57030.0
25.0,73.0,2.0,57918.0
24.0,75.0,1.0,56207.0
29.0,69.0,2.0,57678.0
36.0,63.0,1.0,58468.0
21.0,75.0,4.0,57823.0
29.0,70.0,1.0,60053.0
28.0,71.0,1.0,57795.0
27.0,69.0,4.0,58021.0
35.0,63.0,2.0,59862.0
30.0,70.0,0.0,57733.0
23.0,73.0,4.0,57038.0
24.0,73.0,3.0,56552.0
24.0,75.0,1.0,56447.0
23.0,75.0,2.0,54841.0
30.0,70.0,0.0,57764.0
27.0,72.0,1.0,56052.0
27.0,71.0,2.0,56241.0
31.0,67.0,2.0,55693.0
30.0,69.0,1.0,56708.0
30.0,69.0,1.0,58317.0
26.0,73.0,1.0,58859.0
30.0,68.0,2.0,56420.0
35.0,64.0,1.0,58673.0
27.0,71.0,2.0,57805.0
28.0,71.0,1.0,55359.0
27.0,70.0,3.0,58107.0
28.0,71.0,1.0,58717.0
26.0,72.0,2.0,57931.0
31.0,68.0,1.0,59057.0
26.0,72.0,2.0,55455.0
26.0,73.0,1.0,54890.0
33.0,67.0,0.0,57373.0
35.0,62.0,3.0,58824.0
20.0,77.0,3.0,55402.0
22.0,77.0,1.0,55041.0
24.0,74.0,2.0,54831.0
32.0,66.0,2.0,59132.0
25.0,73.0,2.0,57373.0
30.0,69.0,1.0,58127.0
24.0,75.0,1.0,54082.0
23.0,77.0,0.0,56090.0
26.0,73.0,1.0,56581.0
26.0,74.0,0.0,54154.0
29.0,69.0,2.0,56491.0
28.0,70.0,2.0,54935.0
24.0,75.0,1.0,55141.0
30.0,69.0,1.0,59234.0
22.0,75.0,3.0,53016.0
27.0,69.0,4.0,58063.0
26.0,73.0,1.0,57101.0
37.0,60.0,3.0,57221.0
30.0,69.0,1.0,57233.0
27.0,72.0,1.0,57114.0
25.0,73.0,2.0,57503.0
31.0,68.0,1.0,58956.0
27.0,70.0,3.0,58260.0
26.0,70.0,4.0,58035.0
21.0,75.0,4.0,55627.0
25.0,73.0,2.0,55995.0
31.0,68.0,1.0,55865.0
24.0,73.0,3.0,55459.0
30.0,70.0,0.0,57230.0
28.0,71.0,1.0,56191.0
26.0,72.0,2.0,58168.0
30.0,68.0,2.0,57080.0
25.0,73.0,2.0,55273.0
31.0,65.0,4.0,56318.0
26.0,73.0,1.0,56460.0
28.0,71.0,1.0,58312.0
25.0,71.0,4.0,54974.0
31.0,68.0,1.0,57257.0
26.0,72.0,2.0,57388.0
21.0,77.0,2.0,54156.0
24.0,75.0,1.0,54717.0
29.0,68.0,3.0,56846.0
25.0,73.0,2.0,55350.0
30.0,67.0,3.0,57961.0
31.0,69.0,0.0,57417.0
26.0,72.0,2.0,57301.0
22.0,77.0,1.0,54795.0
26.0,71.0,3.0,56314.0
24.0,75.0,1.0,57233.0
23.0,76.0,1.0,55437.0
27.0,71.0,2.0,57080.0
30.0,67.0,3.0,57624.0
30.0,67.0,3.0,58319.0
32.0,65.0,3.0,57970.0
28.0,70.0,2.0,58420.0
21.0,79.0,0.0,55963.0
25.0,74.0,1.0,55143.0
32.0,67.0,1.0,58685.0
29.0,69.0,2.0,56270.0
29.0,71.0,0.0,57637.0
36.0,62.0,2.0,57893.0
28.0,68.0,4.0,58805.0
28.0,71.0,1.0,56842.0
29.0,69.0,2.0,58988.0
30.0,67.0,3.0,58775.0
20.0,78.0,2.0,54184.0
26.0,73.0,1.0,55559.0
21.0,77.0,2.0,53491.0
25.0,71.0,4.0,56242.0
26.0,71.0,3.0,58624.0
28.0,70.0,2.0,58070.0
28.0,70.0,2.0,57299.0
31.0,66.0,3.0,57622.0
31.0,68.0,1.0,57655.0
28.0,70.0,2.0,57490.0
31.0,67.0,2.0,58696.0
26.0,73.0,1.0,56541.0
21.0,76.0,3.0,55648.0
24.0,74.0,2.0,56352.0
18.0,80.0,2.0,55814.0
22.0,75.0,3.0,55115.0
25.0,72.0,3.0,58091.0
24.0,72.0,4.0,56675.0
28.0,69.0,3.0,59132.0
32.0,65.0,3.0,58334.0
23.0,74.0,3.0,56422.0
20.0,78.0,2.0,54570.0
29.0,70.0,1.0,56302.0
23.0,74.0,3.0,55825.0
23.0,74.0,3.0,56298.0
24.0,73.0,3.0,57141.0
22.0,76.0,2.0,55965.0
32.0,66.0,2.0,59453.0
20.0,80.0,0.0,55048.0
24.0,73.0,3.0,55025.0
26.0,72.0,2.0,57394.0
31.0,68.0,1.0,57542.0
26.0,72.0,2.0,56514.0
35.0,65.0,0.0,58034.0
28.0,71.0,1.0,58099.0
27.0,71.0,2.0,59617.0
29.0,69.0,2.0,56692.0
41.0,57.0,2.0,60388.0
26.0,70.0,4.0,53883.0
26.0,73.0,1.0,58013.0
32.0,67.0,1.0,57988.0
23.0,74.0,3.0,55619.0
31.0,68.0,1.0,58182.0
36.0,63.0,1.0,59482.0
32.0,67.0,1.0,58406.0
27.0,71.0,2.0,57506.0
26.0,72.0,2.0,56073.0
23.0,75.0,2.0,57018.0
20.0,78.0,2.0,56305.0
31.0,68.0,1.0,57194.0
27.0,70.0,3.0,56536.0
26.0,73.0,1.0,56744.0
24.0,72.0,4.0,57849.0
24.0,72.0,4.0,56633.0
21.0,77.0,2.0,55632.0
27.0,71.0,2.0,55480.0
31.0,68.0,1.0,58693.0
31.0,67.0,2.0,58257.0
27.0,73.0,0.0,55047.0
35.0,62.0,3.0,61188.0
26.0,71.0,3.0,57416.0
30.0,68.0,2.0,56992.0
26.0,70.0,4.0,57934.0
28.0,68.0,4.0,56197.0
25.0,74.0,1.0,57152.0
29.0,70.0,1.0,57762.0
31.0,67.0,2.0,56834.0
30.0,67.0,3.0,59239.0
31.0,67.0,2.0,57027.0
30.0,68.0,2.0,57307.0
27.0,70.0,3.0,56004.0
30.0,67.0,3.0,57431.0
21.0,77.0,2.0,57834.0
28.0,70.0,2.0,58436.0
22.0,75.0,3.0,55753.0
32.0,65.0,3.0,59077.0
27.0,71.0,2.0,59089.0
34.0,64.0,2.0,58892.0
29.0,69.0,2.0,57638.0
24.0,74.0,2.0,55727.0
27.0,72.0,1.0,56651.0
27.0,71.0,2.0,54956.0
28.0,71.0,1.0,55410.0
23.0,77.0,0.0,58607.0
28.0,71.0,1.0,58392.0
25.0,73.0,2.0,55196.0
29.0,70.0,1.0,56927.0
25.0,74.0,1.0,56126.0
25.0,72.0,3.0,55870.0
22.0,75.0,3.0,55417.0
26.0,71.0,3.0,59131.0
31.0,68.0,1.0,57558.0
26.0,69.0,5.0,57318.0
30.0,68.0,2.0,58256.0
27.0,70.0,3.0,56517.0
28.0,70.0,2.0,56806.0
29.0,70.0,1.0,56924.0
26.0,73.0,1.0,57044.0
28.0,71.0,1.0,57287.0
27.0,71.0,2.0,56275.0
26.0,72.0,2.0,55982.0
24.0,73.0,3.0,56029.0
27.0,70.0,3.0,58796.0
21.0,75.0,4.0,53644.0
21.0,79.0,0.0,55533.0
30.0,68.0,2.0,57454.0
26.0,70.0,4.0,58547.0
22.0,75.0,3.0,55644.0
32.0,66.0,2.0,58562.0
21.0,78.0,1.0,55386.0
27.0,71.0,2.0,57445.0
32.0,65.0,3.0,57794.0
26.0,73.0,1.0,57028.0
27.0,70.0,3.0,57219.0
29.0,69.0,2.0,56182.0
32.0,66.0,2.0,57261.0
22.0,78.0,0.0,54366.0
28.0,70.0,2.0,55833.0
26.0,71.0,3.0,56195.0
31.0,67.0,2.0,59871.0
21.0,76.0,3.0,54542.0
31.0,67.0,2.0,57882.0
28.0,69.0,3.0,56709.0
30.0,67.0,3.0,59781.0
21.0,75.0,4.0,56153.0
28.0,71.0,1.0,56146.0
31.0,69.0,0.0,57150.0
29.0,69.0,2.0,54965.0
30.0,69.0,1.0,57249.0
25.0,71.0,4.0,56785.0
26.0,71.0,3.0,57676.0
