infections,diagnosed,susceptible,steps
27.0,73.0,0.0,2736.0
21.0,79.0,0.0,2693.0
23.0,77.0,0.0,2588.0
20.0,80.0,0.0,2861.0
27.0,73.0,0.0,2715.0
19.0,81.0,0.0,2668.0
24.0,76.0,0.0,2802.0
24.0,76.0,0.0,2792.0
24.0,76.0,0.0,2749.0
18.0,82.0,0.0,2555.0
21.0,79.0,0.0,2865.0
27.0,73.0,0.0,2847.0
26.0,74.0,0.0,3173.0
25.0,75.0,0.0,2822.0
22.0,78.0,0.0,2792.0
21.0,79.0,0.0,2887.0
25.0,75.0,0.0,2889.0
21.0,79.0,0.0,2708.0
21.0,79.0,0.0,2575.0
30.0,70.0,0.0,3000.0
26.0,74.0,0.0,2819.0
28.0,72.0,0.0,2802.0
23.0,77.0,0.0,2761.0
24.0,76.0,0.0,2999.0
23.0,77.0,0.0,2561.0
20.0,80.0,0.0,2741.0
22.0,78.0,0.0,2611.0
22.0,78.0,0.0,2646.0
22.0,78.0,0.0,2841.0
19.0,81.0,0.0,2849.0
25.0,75.0,0.0,2879.0
23.0,77.0,0.0,2779.0
24.0,76.0,0.0,2671.0
21.0,79.0,0.0,2549.0
24.0,76.0,0.0,2881.0
22.0,78.0,0.0,2684.0
20.0,80.0,0.0,2818.0
18.0,82.0,0.0,2620.0
26.0,74.0,0.0,2769.0
19.0,81.0,0.0,2927.0
26.0,74.0,0.0,2875.0
22.0,78.0,0.0,2693.0
22.0,78.0,0.0,2589.0
28.0,72.0,0.0,2896.0
20.0,80.0,0.0,2663.0
20.0,80.0,0.0,2755.0
27.0,73.0,0.0,2818.0
19.0,81.0,0.0,2590.0
25.0,75.0,0.0,2733.0
21.0,79.0,0.0,2743.0
22.0,78.0,0.0,2628.0
21.0,79.0,0.0,2642.0
20.0,80.0,0.0,2608.0
22.0,78.0,0.0,2721.0
19.0,81.0,0.0,2639.0
24.0,76.0,0.0,2796.0
22.0,78.0,0.0,2797.0
23.0,77.0,0.0,2813.0
28.0,72.0,0.0,2930.0
22.0,78.0,0.0,2750.0
28.0,72.0,0.0,2816.0
28.0,72.0,0.0,2879.0
25.0,75.0,0.0,2684.0
24.0,76.0,0.0,2853.0
25.0,75.0,0.0,2673.0
26.0,74.0,0.0,2897.0
23.0,77.0,0.0,2736.0
19.0,81.0,0.0,2685.0
23.0,77.0,0.0,2765.0
23.0,77.0,0.0,2731.0
30.0,70.0,0.0,3045.0
26.0,74.0,0.0,2873.0
21.0,79.0,0.0,2906.0
15.0,85.0,0.0,2573.0
23.0,77.0,0.0,2850.0
23.0,77.0,0.0,2621.0
25.0,75.0,0.0,2964.0
20.0,80.0,0.0,2900.0
24.0,76.0,0.0,2832.0
23.0,77.0,0.0,2913.0
18.0,82.0,0.0,2686.0
23.0,77.0,0.0,2489.0
26.0,74.0,0.0,2749.0
28.0,72.0,0.0,3070.0
21.0,79.0,0.0,2814.0
19.0,81.0,0.0,2607.0
24.0,76.0,0.0,3041.0
17.0,83.0,0.0,2553.0
23.0,77.0,0.0,2689.0
23.0,77.0,0.0,2763.0
19.0,81.0,0.0,2671.0
25.0,75.0,0.0,2908.0
22.0,78.0,0.0,2858.0
25.0,75.0,0.0,2871.0
31.0,69.0,0.0,2886.0
21.0,79.0,0.0,2771.0
24.0,76.0,0.0,2760.0
17.0,83.0,0.0,2539.0
25.0,75.0,0.0,2839.0
25.0,75.0,0.0,2785.0
20.0,80.0,0.0,2774.0
30.0,70.0,0.0,2858.0
24.0,76.0,0.0,2796.0
