inf_prop,diag_prop,i0,beta_measure,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,total_immunized
0.55,0.5,5.0,1.0,0.0,0.0,1.0,4.0,4.0,8.0,14.0,33.0,55.0,62.0,48.0,48.0,34.0,18.0,15.0,17.0,12.0,5.0,5.0,5.0,4.0,2.0,3.0,2.0,1.0,0.0,761.0
0.55,0.5,5.0,1.0,0.0,1.0,1.0,4.0,8.0,11.0,27.0,37.0,45.0,52.0,40.0,33.0,22.0,22.0,19.0,17.0,9.0,12.0,6.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,718.0
0.55,0.5,5.0,1.0,0.0,2.0,2.0,4.0,19.0,33.0,42.0,60.0,57.0,43.0,33.0,24.0,20.0,19.0,16.0,9.0,8.0,4.0,6.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,773.0
0.55,0.5,5.0,1.0,0.0,3.0,4.0,10.0,17.0,34.0,49.0,45.0,53.0,39.0,32.0,21.0,19.0,13.0,16.0,6.0,7.0,3.0,5.0,4.0,3.0,0.0,0.0,1.0,1.0,1.0,748.0
0.55,0.5,5.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,7.0,9.0,14.0,17.0,43.0,51.0,63.0,49.0,34.0,21.0,19.0,21.0,14.0,6.0,11.0,6.0,6.0,2.0,3.0,4.0,755.0
0.55,0.5,5.0,1.0,0.0,1.0,0.0,11.0,15.0,43.0,39.0,47.0,42.0,36.0,40.0,26.0,23.0,19.0,13.0,8.0,4.0,7.0,6.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,737.0
0.55,0.5,5.0,1.0,0.0,0.0,3.0,5.0,3.0,5.0,11.0,32.0,32.0,52.0,40.0,39.0,41.0,21.0,24.0,18.0,9.0,10.0,8.0,5.0,6.0,2.0,1.0,8.0,0.0,1.0,761.0
0.55,0.5,5.0,1.0,0.0,1.0,4.0,5.0,7.0,26.0,45.0,48.0,49.0,43.0,28.0,33.0,17.0,12.0,17.0,13.0,7.0,3.0,3.0,4.0,0.0,2.0,1.0,2.0,0.0,0.0,755.0
0.55,0.5,5.0,1.0,0.0,3.0,6.0,10.0,28.0,49.0,46.0,45.0,44.0,41.0,23.0,16.0,23.0,15.0,8.0,6.0,3.0,7.0,0.0,3.0,1.0,2.0,1.0,2.0,1.0,0.0,766.0
0.55,0.5,5.0,1.0,0.0,1.0,0.0,7.0,11.0,39.0,50.0,57.0,50.0,64.0,41.0,23.0,16.0,11.0,10.0,9.0,3.0,6.0,2.0,2.0,5.0,0.0,1.0,2.0,0.0,0.0,772.0
0.55,0.5,5.0,1.0,0.0,4.0,8.0,23.0,38.0,45.0,49.0,41.0,35.0,33.0,27.0,20.0,14.0,9.0,5.0,5.0,4.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,756.0
0.55,0.5,5.0,1.0,0.0,1.0,3.0,1.0,4.0,2.0,14.0,33.0,43.0,46.0,47.0,41.0,33.0,24.0,19.0,19.0,13.0,9.0,7.0,7.0,4.0,6.0,3.0,1.0,0.0,2.0,743.0
0.55,0.5,5.0,1.0,0.0,1.0,18.0,26.0,43.0,54.0,59.0,38.0,42.0,29.0,20.0,9.0,16.0,10.0,11.0,8.0,1.0,3.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,785.0
0.55,0.5,5.0,1.0,0.0,4.0,6.0,15.0,23.0,37.0,66.0,45.0,38.0,43.0,14.0,20.0,19.0,10.0,8.0,6.0,6.0,6.0,5.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,779.0
0.55,0.5,5.0,1.0,0.0,0.0,2.0,0.0,8.0,20.0,36.0,48.0,56.0,47.0,36.0,32.0,28.0,12.0,12.0,10.0,4.0,4.0,6.0,3.0,0.0,9.0,2.0,2.0,0.0,0.0,743.0
0.55,0.5,5.0,1.0,0.0,1.0,2.0,0.0,4.0,14.0,24.0,42.0,49.0,63.0,46.0,39.0,27.0,16.0,17.0,10.0,11.0,7.0,9.0,5.0,2.0,0.0,2.0,0.0,0.0,1.0,745.0
0.55,0.5,5.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.55,0.5,5.0,1.0,0.0,1.0,2.0,8.0,16.0,37.0,41.0,49.0,48.0,45.0,25.0,24.0,19.0,18.0,14.0,6.0,5.0,3.0,5.0,3.0,2.0,0.0,2.0,1.0,1.0,0.0,738.0
0.55,0.5,5.0,1.0,0.0,3.0,11.0,30.0,40.0,63.0,61.0,42.0,33.0,45.0,15.0,16.0,9.0,10.0,5.0,4.0,3.0,3.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,763.0
0.55,0.5,5.0,1.0,0.0,1.0,3.0,7.0,14.0,36.0,58.0,59.0,51.0,45.0,29.0,36.0,14.0,8.0,13.0,8.0,6.0,2.0,4.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,764.0
0.55,0.5,5.0,1.0,0.0,0.0,2.0,2.0,14.0,12.0,23.0,30.0,49.0,51.0,37.0,38.0,27.0,22.0,23.0,15.0,12.0,6.0,7.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,750.0
0.55,0.5,5.0,1.0,0.0,0.0,2.0,4.0,19.0,34.0,37.0,58.0,50.0,22.0,38.0,25.0,16.0,10.0,13.0,9.0,8.0,4.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,758.0
0.55,0.5,5.0,1.0,0.0,2.0,0.0,0.0,1.0,9.0,18.0,40.0,62.0,60.0,54.0,30.0,26.0,27.0,14.0,16.0,13.0,4.0,5.0,4.0,6.0,3.0,1.0,1.0,1.0,1.0,738.0
