infections,diagnosed,susceptible,steps
50.0,41.0,9.0,9159.0
32.0,48.0,20.0,8882.0
41.0,42.0,17.0,9724.0
46.0,41.0,13.0,9170.0
45.0,41.0,14.0,9251.0
35.0,48.0,17.0,9102.0
35.0,48.0,17.0,8754.0
43.0,47.0,10.0,9236.0
44.0,39.0,17.0,9392.0
44.0,40.0,16.0,9293.0
37.0,46.0,17.0,9137.0
39.0,45.0,16.0,9165.0
42.0,46.0,12.0,8776.0
33.0,53.0,14.0,9084.0
38.0,51.0,11.0,8993.0
40.0,53.0,7.0,8751.0
30.0,54.0,16.0,8459.0
36.0,46.0,18.0,8902.0
32.0,31.0,37.0,9521.0
41.0,40.0,19.0,9828.0
35.0,46.0,19.0,9453.0
44.0,37.0,19.0,9655.0
41.0,27.0,32.0,9683.0
43.0,41.0,16.0,9545.0
36.0,52.0,12.0,9162.0
35.0,50.0,15.0,8853.0
33.0,46.0,21.0,8859.0
41.0,47.0,12.0,9264.0
34.0,49.0,17.0,8545.0
40.0,44.0,16.0,8739.0
35.0,47.0,18.0,9145.0
39.0,38.0,23.0,9726.0
30.0,50.0,20.0,8726.0
35.0,52.0,13.0,8699.0
42.0,41.0,17.0,9323.0
39.0,45.0,16.0,9390.0
45.0,32.0,23.0,9339.0
40.0,39.0,21.0,9145.0
44.0,42.0,14.0,9160.0
37.0,56.0,7.0,8968.0
37.0,41.0,22.0,9357.0
40.0,40.0,20.0,9340.0
36.0,51.0,13.0,8886.0
40.0,49.0,11.0,9268.0
39.0,50.0,11.0,8691.0
41.0,40.0,19.0,9544.0
31.0,46.0,23.0,9097.0
37.0,48.0,15.0,9261.0
40.0,44.0,16.0,9037.0
40.0,44.0,16.0,9154.0
39.0,41.0,20.0,9214.0
38.0,45.0,17.0,9121.0
41.0,42.0,17.0,9064.0
36.0,40.0,24.0,9195.0
37.0,48.0,15.0,9099.0
41.0,38.0,21.0,9432.0
43.0,43.0,14.0,9345.0
35.0,51.0,14.0,9096.0
36.0,52.0,12.0,8717.0
39.0,39.0,22.0,9236.0
39.0,50.0,11.0,8777.0
41.0,41.0,18.0,9316.0
35.0,53.0,12.0,8709.0
38.0,46.0,16.0,8982.0
40.0,51.0,9.0,8741.0
46.0,33.0,21.0,9890.0
45.0,43.0,12.0,8838.0
41.0,43.0,16.0,9351.0
39.0,44.0,17.0,9211.0
38.0,44.0,18.0,9098.0
40.0,40.0,20.0,9346.0
40.0,40.0,20.0,9377.0
42.0,48.0,10.0,9070.0
43.0,45.0,12.0,8591.0
45.0,36.0,19.0,9223.0
36.0,45.0,19.0,9096.0
31.0,46.0,23.0,9260.0
36.0,51.0,13.0,8539.0
39.0,49.0,12.0,8544.0
42.0,43.0,15.0,9454.0
32.0,43.0,25.0,9424.0
37.0,37.0,26.0,9411.0
37.0,41.0,22.0,8859.0
41.0,41.0,18.0,9052.0
36.0,46.0,18.0,9280.0
37.0,41.0,22.0,9205.0
36.0,48.0,16.0,8933.0
33.0,55.0,12.0,9079.0
33.0,50.0,17.0,8840.0
35.0,47.0,18.0,8945.0
44.0,37.0,19.0,9877.0
33.0,46.0,21.0,9327.0
33.0,40.0,27.0,9153.0
39.0,41.0,20.0,9516.0
31.0,41.0,28.0,8896.0
36.0,44.0,20.0,8913.0
42.0,38.0,20.0,8839.0
38.0,48.0,14.0,9038.0
39.0,46.0,15.0,8909.0
38.0,47.0,15.0,8863.0
46.0,38.0,16.0,9461.0
39.0,45.0,16.0,9010.0
38.0,50.0,12.0,8539.0
50.0,39.0,11.0,9592.0
40.0,33.0,27.0,9749.0
35.0,33.0,32.0,9259.0
44.0,42.0,14.0,9091.0
42.0,40.0,18.0,9840.0
43.0,46.0,11.0,9032.0
39.0,47.0,14.0,8493.0
