S,I,D,R,steps
16.0,39.0,45.0,0.0,128.0
19.0,37.0,44.0,0.0,122.0
18.0,38.0,44.0,0.0,122.0
17.0,34.0,49.0,0.0,131.0
16.0,40.0,44.0,0.0,122.0
23.0,37.0,40.0,0.0,113.0
16.0,38.0,46.0,0.0,125.0
11.0,33.0,56.0,0.0,140.0
18.0,39.0,43.0,0.0,122.0
16.0,36.0,48.0,0.0,129.0
14.0,36.0,50.0,0.0,131.0
26.0,29.0,45.0,0.0,117.0
18.0,29.0,53.0,0.0,131.0
17.0,33.0,50.0,0.0,127.0
31.0,39.0,30.0,0.0,92.0
10.0,30.0,60.0,0.0,145.0
16.0,33.0,51.0,0.0,128.0
11.0,38.0,51.0,0.0,138.0
29.0,28.0,43.0,0.0,109.0
23.0,27.0,50.0,0.0,124.0
24.0,34.0,42.0,0.0,121.0
24.0,29.0,47.0,0.0,117.0
16.0,42.0,42.0,0.0,121.0
14.0,43.0,43.0,0.0,122.0
15.0,42.0,43.0,0.0,127.0
16.0,44.0,40.0,0.0,119.0
12.0,38.0,50.0,0.0,133.0
14.0,47.0,39.0,0.0,119.0
20.0,39.0,41.0,0.0,120.0
13.0,42.0,45.0,0.0,128.0
12.0,40.0,48.0,0.0,129.0
17.0,32.0,51.0,0.0,133.0
20.0,28.0,52.0,0.0,126.0
26.0,40.0,34.0,0.0,104.0
28.0,34.0,38.0,0.0,110.0
15.0,41.0,44.0,0.0,127.0
25.0,30.0,45.0,0.0,116.0
18.0,30.0,52.0,0.0,130.0
18.0,37.0,45.0,0.0,126.0
17.0,36.0,47.0,0.0,125.0
13.0,38.0,49.0,0.0,130.0
16.0,41.0,43.0,0.0,120.0
16.0,39.0,45.0,0.0,123.0
21.0,28.0,51.0,0.0,123.0
10.0,32.0,58.0,0.0,145.0
21.0,38.0,41.0,0.0,121.0
15.0,28.0,57.0,0.0,141.0
22.0,35.0,43.0,0.0,120.0
11.0,30.0,59.0,0.0,145.0
17.0,32.0,51.0,0.0,131.0
25.0,34.0,41.0,0.0,114.0
15.0,38.0,47.0,0.0,124.0
8.0,40.0,52.0,0.0,139.0
14.0,32.0,54.0,0.0,135.0
24.0,35.0,41.0,0.0,113.0
13.0,32.0,55.0,0.0,139.0
20.0,34.0,46.0,0.0,121.0
15.0,35.0,50.0,0.0,130.0
17.0,40.0,43.0,0.0,120.0
18.0,35.0,47.0,0.0,121.0
21.0,35.0,44.0,0.0,117.0
17.0,41.0,42.0,0.0,118.0
18.0,30.0,52.0,0.0,129.0
17.0,30.0,53.0,0.0,133.0
17.0,37.0,46.0,0.0,122.0
23.0,32.0,45.0,0.0,116.0
14.0,33.0,53.0,0.0,133.0
29.0,30.0,41.0,0.0,104.0
27.0,35.0,38.0,0.0,105.0
22.0,38.0,40.0,0.0,114.0
20.0,30.0,50.0,0.0,125.0
21.0,31.0,48.0,0.0,123.0
24.0,32.0,44.0,0.0,118.0
19.0,36.0,45.0,0.0,120.0
20.0,34.0,46.0,0.0,125.0
14.0,36.0,50.0,0.0,129.0
22.0,40.0,38.0,0.0,115.0
8.0,44.0,48.0,0.0,139.0
20.0,33.0,47.0,0.0,120.0
11.0,41.0,48.0,0.0,130.0
14.0,31.0,55.0,0.0,134.0
22.0,32.0,46.0,0.0,127.0
17.0,34.0,49.0,0.0,127.0
25.0,37.0,38.0,0.0,113.0
31.0,30.0,39.0,0.0,108.0
18.0,40.0,42.0,0.0,119.0
15.0,38.0,47.0,0.0,127.0
18.0,35.0,47.0,0.0,124.0
31.0,39.0,30.0,0.0,100.0
15.0,34.0,51.0,0.0,131.0
13.0,30.0,57.0,0.0,139.0
23.0,46.0,31.0,0.0,102.0
11.0,37.0,52.0,0.0,134.0
35.0,23.0,42.0,0.0,103.0
20.0,37.0,43.0,0.0,117.0
