S,I,D,R,steps
16.0,37.0,47.0,0.0,128.0
18.0,37.0,45.0,0.0,123.0
23.0,42.0,35.0,0.0,105.0
15.0,40.0,45.0,0.0,128.0
16.0,43.0,41.0,0.0,118.0
21.0,36.0,43.0,0.0,113.0
13.0,44.0,43.0,0.0,128.0
17.0,32.0,51.0,0.0,129.0
26.0,46.0,28.0,0.0,97.0
17.0,40.0,43.0,0.0,119.0
14.0,46.0,40.0,0.0,116.0
11.0,35.0,54.0,0.0,138.0
15.0,48.0,37.0,0.0,118.0
26.0,34.0,40.0,0.0,110.0
15.0,34.0,51.0,0.0,134.0
11.0,37.0,52.0,0.0,142.0
13.0,42.0,45.0,0.0,128.0
13.0,39.0,48.0,0.0,130.0
20.0,47.0,33.0,0.0,111.0
13.0,38.0,49.0,0.0,133.0
25.0,36.0,39.0,0.0,112.0
24.0,37.0,39.0,0.0,114.0
11.0,49.0,40.0,0.0,125.0
24.0,49.0,27.0,0.0,101.0
21.0,39.0,40.0,0.0,117.0
19.0,34.0,47.0,0.0,124.0
20.0,38.0,42.0,0.0,118.0
20.0,43.0,37.0,0.0,114.0
23.0,33.0,44.0,0.0,119.0
17.0,41.0,42.0,0.0,117.0
18.0,42.0,40.0,0.0,115.0
13.0,41.0,46.0,0.0,127.0
13.0,39.0,48.0,0.0,129.0
14.0,37.0,49.0,0.0,129.0
9.0,37.0,54.0,0.0,143.0
13.0,36.0,51.0,0.0,133.0
20.0,37.0,43.0,0.0,116.0
18.0,41.0,41.0,0.0,117.0
13.0,33.0,54.0,0.0,136.0
16.0,42.0,42.0,0.0,124.0
16.0,44.0,40.0,0.0,123.0
11.0,44.0,45.0,0.0,131.0
17.0,44.0,39.0,0.0,117.0
14.0,43.0,43.0,0.0,120.0
10.0,35.0,55.0,0.0,136.0
11.0,46.0,43.0,0.0,125.0
19.0,30.0,51.0,0.0,126.0
11.0,44.0,45.0,0.0,131.0
18.0,41.0,41.0,0.0,122.0
17.0,38.0,45.0,0.0,121.0
20.0,40.0,40.0,0.0,119.0
23.0,36.0,41.0,0.0,115.0
14.0,37.0,49.0,0.0,128.0
17.0,36.0,47.0,0.0,127.0
18.0,38.0,44.0,0.0,125.0
10.0,33.0,57.0,0.0,142.0
7.0,45.0,48.0,0.0,134.0
19.0,38.0,43.0,0.0,116.0
15.0,33.0,52.0,0.0,131.0
21.0,42.0,37.0,0.0,113.0
20.0,37.0,43.0,0.0,122.0
15.0,38.0,47.0,0.0,130.0
18.0,42.0,40.0,0.0,117.0
21.0,45.0,34.0,0.0,111.0
19.0,34.0,47.0,0.0,126.0
18.0,37.0,45.0,0.0,124.0
16.0,36.0,48.0,0.0,128.0
14.0,38.0,48.0,0.0,131.0
13.0,40.0,47.0,0.0,129.0
19.0,39.0,42.0,0.0,120.0
18.0,29.0,53.0,0.0,134.0
13.0,35.0,52.0,0.0,134.0
16.0,37.0,47.0,0.0,130.0
12.0,39.0,49.0,0.0,133.0
16.0,38.0,46.0,0.0,123.0
11.0,28.0,61.0,0.0,145.0
13.0,40.0,47.0,0.0,131.0
20.0,35.0,45.0,0.0,120.0
18.0,47.0,35.0,0.0,117.0
12.0,39.0,49.0,0.0,127.0
23.0,42.0,35.0,0.0,108.0
11.0,40.0,49.0,0.0,134.0
23.0,30.0,47.0,0.0,119.0
16.0,40.0,44.0,0.0,122.0
19.0,37.0,44.0,0.0,120.0
11.0,34.0,55.0,0.0,142.0
13.0,38.0,49.0,0.0,133.0
9.0,43.0,48.0,0.0,137.0
13.0,39.0,48.0,0.0,133.0
29.0,33.0,38.0,0.0,107.0
18.0,39.0,43.0,0.0,119.0
22.0,39.0,39.0,0.0,111.0
12.0,40.0,48.0,0.0,131.0
26.0,36.0,38.0,0.0,110.0
18.0,35.0,47.0,0.0,124.0
21.0,39.0,40.0,0.0,112.0
13.0,39.0,48.0,0.0,133.0
11.0,38.0,51.0,0.0,137.0
9.0,40.0,51.0,0.0,138.0
13.0,37.0,50.0,0.0,134.0
23.0,30.0,47.0,0.0,123.0
19.0,38.0,43.0,0.0,118.0
21.0,40.0,39.0,0.0,113.0
19.0,32.0,49.0,0.0,123.0
12.0,46.0,42.0,0.0,128.0
19.0,36.0,45.0,0.0,124.0
11.0,40.0,49.0,0.0,134.0
11.0,40.0,49.0,0.0,135.0
15.0,33.0,52.0,0.0,133.0
14.0,39.0,47.0,0.0,128.0
16.0,42.0,42.0,0.0,121.0
19.0,43.0,38.0,0.0,112.0
18.0,41.0,41.0,0.0,121.0
25.0,36.0,39.0,0.0,110.0
14.0,36.0,50.0,0.0,130.0
20.0,49.0,31.0,0.0,105.0
24.0,32.0,44.0,0.0,115.0
16.0,40.0,44.0,0.0,127.0
17.0,36.0,47.0,0.0,128.0
19.0,34.0,47.0,0.0,126.0
11.0,44.0,45.0,0.0,129.0
27.0,40.0,33.0,0.0,100.0
14.0,33.0,53.0,0.0,133.0
25.0,34.0,41.0,0.0,117.0
20.0,38.0,42.0,0.0,118.0
17.0,46.0,37.0,0.0,115.0
21.0,40.0,39.0,0.0,111.0
17.0,42.0,41.0,0.0,119.0
18.0,41.0,41.0,0.0,119.0
21.0,35.0,44.0,0.0,118.0
20.0,44.0,36.0,0.0,116.0
21.0,39.0,40.0,0.0,115.0
15.0,45.0,40.0,0.0,125.0
9.0,37.0,54.0,0.0,143.0
16.0,41.0,43.0,0.0,121.0
18.0,38.0,44.0,0.0,119.0
30.0,30.0,40.0,0.0,105.0
13.0,37.0,50.0,0.0,134.0
13.0,43.0,44.0,0.0,124.0
16.0,37.0,47.0,0.0,126.0
17.0,24.0,59.0,0.0,138.0
20.0,34.0,46.0,0.0,121.0
11.0,40.0,49.0,0.0,136.0
22.0,36.0,42.0,0.0,118.0
9.0,50.0,41.0,0.0,122.0
14.0,44.0,42.0,0.0,123.0
14.0,38.0,48.0,0.0,131.0
