S,I,D,R,steps
84.0,6.0,10.0,0.0,16.0
72.0,11.0,17.0,0.0,38.0
76.0,8.0,16.0,0.0,30.0
61.0,21.0,18.0,0.0,48.0
83.0,5.0,12.0,0.0,22.0
80.0,6.0,14.0,0.0,24.0
78.0,10.0,12.0,0.0,24.0
72.0,12.0,16.0,0.0,37.0
64.0,17.0,19.0,0.0,48.0
75.0,12.0,13.0,0.0,29.0
76.0,11.0,13.0,0.0,29.0
71.0,10.0,19.0,0.0,40.0
71.0,8.0,21.0,0.0,40.0
70.0,14.0,16.0,0.0,36.0
84.0,5.0,11.0,0.0,18.0
74.0,12.0,14.0,0.0,32.0
73.0,7.0,20.0,0.0,40.0
81.0,9.0,10.0,0.0,19.0
60.0,15.0,25.0,0.0,57.0
83.0,5.0,12.0,0.0,21.0
75.0,10.0,15.0,0.0,33.0
63.0,16.0,21.0,0.0,49.0
66.0,12.0,22.0,0.0,49.0
70.0,13.0,17.0,0.0,40.0
74.0,11.0,15.0,0.0,31.0
79.0,6.0,15.0,0.0,29.0
76.0,10.0,14.0,0.0,28.0
78.0,6.0,16.0,0.0,29.0
67.0,14.0,19.0,0.0,43.0
80.0,7.0,13.0,0.0,25.0
81.0,4.0,15.0,0.0,25.0
72.0,9.0,19.0,0.0,37.0
73.0,9.0,18.0,0.0,36.0
69.0,16.0,15.0,0.0,39.0
77.0,11.0,12.0,0.0,26.0
72.0,13.0,15.0,0.0,34.0
76.0,9.0,15.0,0.0,31.0
60.0,12.0,28.0,0.0,60.0
70.0,8.0,22.0,0.0,44.0
76.0,10.0,14.0,0.0,28.0
77.0,7.0,16.0,0.0,29.0
67.0,15.0,18.0,0.0,43.0
65.0,17.0,18.0,0.0,45.0
77.0,5.0,18.0,0.0,32.0
68.0,14.0,18.0,0.0,45.0
67.0,16.0,17.0,0.0,42.0
62.0,15.0,23.0,0.0,52.0
73.0,11.0,16.0,0.0,38.0
77.0,6.0,17.0,0.0,33.0
76.0,10.0,14.0,0.0,29.0
79.0,4.0,17.0,0.0,28.0
77.0,10.0,13.0,0.0,26.0
77.0,9.0,14.0,0.0,29.0
80.0,7.0,13.0,0.0,24.0
63.0,20.0,17.0,0.0,48.0
79.0,11.0,10.0,0.0,22.0
78.0,8.0,14.0,0.0,29.0
60.0,13.0,27.0,0.0,57.0
75.0,8.0,17.0,0.0,33.0
75.0,13.0,12.0,0.0,32.0
66.0,13.0,21.0,0.0,47.0
68.0,15.0,17.0,0.0,40.0
81.0,5.0,14.0,0.0,24.0
73.0,15.0,12.0,0.0,31.0
69.0,7.0,24.0,0.0,46.0
64.0,14.0,22.0,0.0,51.0
74.0,8.0,18.0,0.0,36.0
81.0,8.0,11.0,0.0,21.0
80.0,8.0,12.0,0.0,23.0
71.0,13.0,16.0,0.0,37.0
77.0,8.0,15.0,0.0,31.0
72.0,16.0,12.0,0.0,30.0
81.0,5.0,14.0,0.0,27.0
78.0,5.0,17.0,0.0,30.0
69.0,11.0,20.0,0.0,43.0
69.0,14.0,17.0,0.0,40.0
75.0,11.0,14.0,0.0,29.0
74.0,14.0,12.0,0.0,29.0
73.0,12.0,15.0,0.0,33.0
77.0,6.0,17.0,0.0,33.0
81.0,6.0,13.0,0.0,23.0
75.0,10.0,15.0,0.0,31.0
78.0,6.0,16.0,0.0,30.0
60.0,18.0,22.0,0.0,53.0
76.0,13.0,11.0,0.0,27.0
78.0,9.0,13.0,0.0,26.0
76.0,7.0,17.0,0.0,31.0
52.0,24.0,24.0,0.0,65.0
62.0,14.0,24.0,0.0,54.0
75.0,13.0,12.0,0.0,29.0
73.0,7.0,20.0,0.0,38.0
72.0,9.0,19.0,0.0,39.0
73.0,11.0,16.0,0.0,33.0
71.0,14.0,15.0,0.0,34.0
70.0,10.0,20.0,0.0,41.0
70.0,9.0,21.0,0.0,43.0
81.0,5.0,14.0,0.0,27.0
65.0,15.0,20.0,0.0,47.0
78.0,5.0,17.0,0.0,32.0
72.0,16.0,12.0,0.0,35.0
52.0,17.0,31.0,0.0,72.0
78.0,8.0,14.0,0.0,28.0
68.0,18.0,14.0,0.0,39.0
69.0,11.0,20.0,0.0,43.0
85.0,4.0,11.0,0.0,17.0
87.0,3.0,10.0,0.0,13.0
71.0,12.0,17.0,0.0,37.0
76.0,12.0,12.0,0.0,26.0
66.0,14.0,20.0,0.0,45.0
71.0,11.0,18.0,0.0,37.0
83.0,7.0,10.0,0.0,19.0
72.0,15.0,13.0,0.0,32.0
72.0,6.0,22.0,0.0,42.0
82.0,6.0,12.0,0.0,22.0
85.0,3.0,12.0,0.0,20.0
82.0,8.0,10.0,0.0,18.0
74.0,11.0,15.0,0.0,33.0
79.0,7.0,14.0,0.0,26.0
74.0,10.0,16.0,0.0,35.0
75.0,8.0,17.0,0.0,35.0
82.0,6.0,12.0,0.0,22.0
77.0,9.0,14.0,0.0,27.0
75.0,12.0,13.0,0.0,28.0
63.0,18.0,19.0,0.0,48.0
70.0,15.0,15.0,0.0,37.0
70.0,10.0,20.0,0.0,41.0
85.0,3.0,12.0,0.0,18.0
77.0,12.0,11.0,0.0,26.0
76.0,6.0,18.0,0.0,36.0
72.0,7.0,21.0,0.0,40.0
64.0,16.0,20.0,0.0,46.0
81.0,6.0,13.0,0.0,25.0
86.0,4.0,10.0,0.0,15.0
74.0,6.0,20.0,0.0,36.0
68.0,15.0,17.0,0.0,41.0
76.0,9.0,15.0,0.0,30.0
82.0,8.0,10.0,0.0,19.0
79.0,8.0,13.0,0.0,25.0
76.0,6.0,18.0,0.0,33.0
60.0,16.0,24.0,0.0,54.0
77.0,10.0,13.0,0.0,28.0
69.0,14.0,17.0,0.0,40.0
77.0,9.0,14.0,0.0,27.0
79.0,5.0,16.0,0.0,28.0
79.0,6.0,15.0,0.0,27.0
67.0,17.0,16.0,0.0,41.0
76.0,10.0,14.0,0.0,30.0
61.0,18.0,21.0,0.0,51.0
83.0,3.0,14.0,0.0,23.0
82.0,7.0,11.0,0.0,19.0
61.0,22.0,17.0,0.0,47.0
82.0,7.0,11.0,0.0,19.0
70.0,12.0,18.0,0.0,40.0
82.0,7.0,11.0,0.0,20.0
67.0,15.0,18.0,0.0,44.0
72.0,14.0,14.0,0.0,36.0
69.0,17.0,14.0,0.0,39.0
80.0,9.0,11.0,0.0,23.0
78.0,9.0,13.0,0.0,26.0
69.0,14.0,17.0,0.0,39.0
68.0,17.0,15.0,0.0,39.0
81.0,9.0,10.0,0.0,20.0
67.0,17.0,16.0,0.0,42.0
77.0,9.0,14.0,0.0,30.0
79.0,8.0,13.0,0.0,28.0
71.0,15.0,14.0,0.0,38.0
82.0,5.0,13.0,0.0,21.0
77.0,10.0,13.0,0.0,27.0
77.0,6.0,17.0,0.0,31.0
79.0,6.0,15.0,0.0,28.0
82.0,2.0,16.0,0.0,26.0
80.0,7.0,13.0,0.0,25.0
69.0,13.0,18.0,0.0,43.0
85.0,3.0,12.0,0.0,23.0
74.0,10.0,16.0,0.0,34.0
69.0,13.0,18.0,0.0,44.0
76.0,14.0,10.0,0.0,25.0
80.0,8.0,12.0,0.0,23.0
77.0,8.0,15.0,0.0,28.0
62.0,17.0,21.0,0.0,51.0
70.0,14.0,16.0,0.0,36.0
75.0,9.0,16.0,0.0,32.0
72.0,11.0,17.0,0.0,35.0
77.0,10.0,13.0,0.0,30.0
66.0,9.0,25.0,0.0,50.0
64.0,15.0,21.0,0.0,52.0
75.0,14.0,11.0,0.0,26.0
89.0,0.0,11.0,0.0,14.0
80.0,7.0,13.0,0.0,24.0
69.0,21.0,10.0,0.0,33.0
72.0,8.0,20.0,0.0,41.0
73.0,11.0,16.0,0.0,34.0
76.0,12.0,12.0,0.0,29.0
70.0,14.0,16.0,0.0,39.0
74.0,12.0,14.0,0.0,32.0
67.0,10.0,23.0,0.0,47.0
73.0,11.0,16.0,0.0,35.0
71.0,14.0,15.0,0.0,34.0
71.0,13.0,16.0,0.0,39.0
72.0,14.0,14.0,0.0,34.0
73.0,10.0,17.0,0.0,36.0
69.0,14.0,17.0,0.0,41.0
71.0,16.0,13.0,0.0,34.0
63.0,15.0,22.0,0.0,50.0
84.0,3.0,13.0,0.0,19.0
76.0,10.0,14.0,0.0,28.0
66.0,15.0,19.0,0.0,46.0
77.0,8.0,15.0,0.0,32.0
81.0,5.0,14.0,0.0,24.0
77.0,7.0,16.0,0.0,31.0
76.0,12.0,12.0,0.0,29.0
70.0,11.0,19.0,0.0,43.0
72.0,13.0,15.0,0.0,35.0
64.0,18.0,18.0,0.0,45.0
77.0,7.0,16.0,0.0,31.0
80.0,6.0,14.0,0.0,24.0
73.0,11.0,16.0,0.0,35.0
72.0,12.0,16.0,0.0,35.0
69.0,13.0,18.0,0.0,39.0
61.0,16.0,23.0,0.0,54.0
73.0,9.0,18.0,0.0,37.0
65.0,15.0,20.0,0.0,46.0
82.0,8.0,10.0,0.0,19.0
71.0,11.0,18.0,0.0,37.0
69.0,10.0,21.0,0.0,45.0
77.0,8.0,15.0,0.0,29.0
76.0,5.0,19.0,0.0,33.0
66.0,16.0,18.0,0.0,44.0
74.0,13.0,13.0,0.0,33.0
79.0,8.0,13.0,0.0,25.0
73.0,10.0,17.0,0.0,34.0
85.0,4.0,11.0,0.0,17.0
70.0,17.0,13.0,0.0,37.0
63.0,11.0,26.0,0.0,55.0
69.0,14.0,17.0,0.0,40.0
72.0,13.0,15.0,0.0,33.0
76.0,13.0,11.0,0.0,26.0
75.0,8.0,17.0,0.0,36.0
68.0,13.0,19.0,0.0,42.0
66.0,16.0,18.0,0.0,43.0
74.0,9.0,17.0,0.0,33.0
78.0,10.0,12.0,0.0,27.0
85.0,5.0,10.0,0.0,16.0
76.0,16.0,8.0,0.0,22.0
71.0,8.0,21.0,0.0,41.0
65.0,12.0,23.0,0.0,50.0
76.0,8.0,16.0,0.0,32.0
78.0,9.0,13.0,0.0,26.0
70.0,13.0,17.0,0.0,40.0
79.0,5.0,16.0,0.0,31.0
76.0,10.0,14.0,0.0,31.0
83.0,7.0,10.0,0.0,21.0
75.0,9.0,16.0,0.0,31.0
76.0,9.0,15.0,0.0,30.0
71.0,11.0,18.0,0.0,37.0
67.0,12.0,21.0,0.0,49.0
77.0,4.0,19.0,0.0,33.0
70.0,10.0,20.0,0.0,42.0
72.0,13.0,15.0,0.0,34.0
79.0,9.0,12.0,0.0,26.0
58.0,19.0,23.0,0.0,58.0
60.0,21.0,19.0,0.0,53.0
77.0,6.0,17.0,0.0,33.0
80.0,10.0,10.0,0.0,23.0
66.0,11.0,23.0,0.0,49.0
80.0,7.0,13.0,0.0,24.0
81.0,8.0,11.0,0.0,21.0
65.0,17.0,18.0,0.0,44.0
68.0,13.0,19.0,0.0,44.0
77.0,8.0,15.0,0.0,29.0
81.0,4.0,15.0,0.0,24.0
80.0,7.0,13.0,0.0,27.0
79.0,9.0,12.0,0.0,24.0
79.0,5.0,16.0,0.0,30.0
64.0,19.0,17.0,0.0,44.0
65.0,21.0,14.0,0.0,43.0
64.0,15.0,21.0,0.0,47.0
70.0,14.0,16.0,0.0,39.0
75.0,7.0,18.0,0.0,33.0
59.0,18.0,23.0,0.0,57.0
70.0,15.0,15.0,0.0,36.0
85.0,4.0,11.0,0.0,19.0
81.0,11.0,8.0,0.0,19.0
71.0,9.0,20.0,0.0,41.0
70.0,10.0,20.0,0.0,41.0
70.0,11.0,19.0,0.0,42.0
77.0,11.0,12.0,0.0,26.0
81.0,6.0,13.0,0.0,22.0
65.0,17.0,18.0,0.0,45.0
74.0,6.0,20.0,0.0,40.0
70.0,10.0,20.0,0.0,44.0
78.0,6.0,16.0,0.0,30.0
77.0,10.0,13.0,0.0,26.0
71.0,10.0,19.0,0.0,38.0
72.0,14.0,14.0,0.0,32.0
79.0,8.0,13.0,0.0,24.0
73.0,6.0,21.0,0.0,42.0
74.0,7.0,19.0,0.0,40.0
71.0,11.0,18.0,0.0,39.0
72.0,14.0,14.0,0.0,33.0
80.0,5.0,15.0,0.0,26.0
77.0,10.0,13.0,0.0,26.0
78.0,8.0,14.0,0.0,30.0
78.0,8.0,14.0,0.0,27.0
85.0,2.0,13.0,0.0,18.0
79.0,5.0,16.0,0.0,27.0
73.0,9.0,18.0,0.0,39.0
70.0,15.0,15.0,0.0,36.0
57.0,22.0,21.0,0.0,59.0
78.0,10.0,12.0,0.0,25.0
62.0,17.0,21.0,0.0,51.0
62.0,20.0,18.0,0.0,47.0
82.0,7.0,11.0,0.0,19.0
78.0,5.0,17.0,0.0,33.0
68.0,16.0,16.0,0.0,41.0
75.0,4.0,21.0,0.0,38.0
80.0,7.0,13.0,0.0,24.0
74.0,9.0,17.0,0.0,38.0
87.0,5.0,8.0,0.0,14.0
74.0,8.0,18.0,0.0,36.0
73.0,10.0,17.0,0.0,34.0
75.0,10.0,15.0,0.0,34.0
74.0,9.0,17.0,0.0,34.0
68.0,9.0,23.0,0.0,48.0
73.0,11.0,16.0,0.0,33.0
72.0,11.0,17.0,0.0,36.0
71.0,11.0,18.0,0.0,37.0
57.0,21.0,22.0,0.0,56.0
87.0,1.0,12.0,0.0,17.0
70.0,13.0,17.0,0.0,40.0
75.0,8.0,17.0,0.0,34.0
74.0,9.0,17.0,0.0,33.0
81.0,5.0,14.0,0.0,26.0
66.0,13.0,21.0,0.0,47.0
74.0,10.0,16.0,0.0,36.0
76.0,10.0,14.0,0.0,30.0
71.0,17.0,12.0,0.0,36.0
70.0,9.0,21.0,0.0,44.0
75.0,12.0,13.0,0.0,32.0
72.0,11.0,17.0,0.0,38.0
83.0,5.0,12.0,0.0,19.0
78.0,8.0,14.0,0.0,31.0
69.0,12.0,19.0,0.0,41.0
60.0,18.0,22.0,0.0,56.0
76.0,10.0,14.0,0.0,32.0
74.0,12.0,14.0,0.0,32.0
74.0,12.0,14.0,0.0,31.0
73.0,16.0,11.0,0.0,30.0
76.0,8.0,16.0,0.0,30.0
81.0,7.0,12.0,0.0,23.0
60.0,23.0,17.0,0.0,48.0
67.0,18.0,15.0,0.0,39.0
81.0,7.0,12.0,0.0,21.0
80.0,3.0,17.0,0.0,28.0
79.0,9.0,12.0,0.0,23.0
73.0,8.0,19.0,0.0,38.0
79.0,6.0,15.0,0.0,27.0
70.0,15.0,15.0,0.0,36.0
80.0,3.0,17.0,0.0,28.0
77.0,7.0,16.0,0.0,29.0
75.0,6.0,19.0,0.0,37.0
77.0,10.0,13.0,0.0,26.0
67.0,17.0,16.0,0.0,41.0
76.0,9.0,15.0,0.0,30.0
69.0,14.0,17.0,0.0,40.0
65.0,12.0,23.0,0.0,50.0
76.0,9.0,15.0,0.0,33.0
74.0,13.0,13.0,0.0,32.0
62.0,16.0,22.0,0.0,55.0
70.0,12.0,18.0,0.0,41.0
73.0,11.0,16.0,0.0,33.0
63.0,20.0,17.0,0.0,47.0
82.0,7.0,11.0,0.0,19.0
77.0,14.0,9.0,0.0,25.0
65.0,13.0,22.0,0.0,51.0
69.0,15.0,16.0,0.0,39.0
54.0,19.0,27.0,0.0,63.0
73.0,15.0,12.0,0.0,32.0
70.0,13.0,17.0,0.0,39.0
78.0,8.0,14.0,0.0,27.0
81.0,7.0,12.0,0.0,22.0
80.0,10.0,10.0,0.0,20.0
83.0,6.0,11.0,0.0,19.0
68.0,14.0,18.0,0.0,44.0
67.0,17.0,16.0,0.0,41.0
70.0,16.0,14.0,0.0,35.0
68.0,15.0,17.0,0.0,41.0
72.0,10.0,18.0,0.0,39.0
63.0,15.0,22.0,0.0,51.0
81.0,8.0,11.0,0.0,21.0
82.0,4.0,14.0,0.0,23.0
79.0,7.0,14.0,0.0,27.0
71.0,6.0,23.0,0.0,44.0
80.0,6.0,14.0,0.0,25.0
77.0,6.0,17.0,0.0,31.0
84.0,4.0,12.0,0.0,19.0
81.0,11.0,8.0,0.0,18.0
73.0,9.0,18.0,0.0,39.0
71.0,8.0,21.0,0.0,42.0
66.0,18.0,16.0,0.0,42.0
73.0,10.0,17.0,0.0,36.0
62.0,16.0,22.0,0.0,50.0
70.0,8.0,22.0,0.0,45.0
73.0,13.0,14.0,0.0,35.0
66.0,16.0,18.0,0.0,45.0
76.0,12.0,12.0,0.0,27.0
82.0,4.0,14.0,0.0,24.0
63.0,21.0,16.0,0.0,44.0
78.0,8.0,14.0,0.0,28.0
79.0,6.0,15.0,0.0,31.0
70.0,11.0,19.0,0.0,41.0
74.0,12.0,14.0,0.0,31.0
71.0,9.0,20.0,0.0,42.0
75.0,11.0,14.0,0.0,31.0
68.0,16.0,16.0,0.0,41.0
79.0,8.0,13.0,0.0,24.0
69.0,15.0,16.0,0.0,38.0
80.0,6.0,14.0,0.0,27.0
76.0,8.0,16.0,0.0,34.0
74.0,9.0,17.0,0.0,33.0
78.0,6.0,16.0,0.0,28.0
71.0,10.0,19.0,0.0,39.0
80.0,5.0,15.0,0.0,26.0
86.0,4.0,10.0,0.0,14.0
75.0,10.0,15.0,0.0,31.0
76.0,8.0,16.0,0.0,31.0
81.0,6.0,13.0,0.0,24.0
75.0,7.0,18.0,0.0,36.0
71.0,11.0,18.0,0.0,37.0
71.0,13.0,16.0,0.0,37.0
77.0,7.0,16.0,0.0,31.0
85.0,5.0,10.0,0.0,17.0
67.0,17.0,16.0,0.0,41.0
67.0,14.0,19.0,0.0,44.0
72.0,9.0,19.0,0.0,38.0
73.0,6.0,21.0,0.0,38.0
64.0,11.0,25.0,0.0,53.0
77.0,11.0,12.0,0.0,25.0
73.0,9.0,18.0,0.0,38.0
74.0,9.0,17.0,0.0,38.0
70.0,13.0,17.0,0.0,37.0
83.0,8.0,9.0,0.0,16.0
75.0,11.0,14.0,0.0,29.0
79.0,4.0,17.0,0.0,30.0
76.0,7.0,17.0,0.0,32.0
75.0,10.0,15.0,0.0,35.0
75.0,11.0,14.0,0.0,31.0
66.0,14.0,20.0,0.0,46.0
75.0,8.0,17.0,0.0,34.0
78.0,5.0,17.0,0.0,31.0
70.0,15.0,15.0,0.0,38.0
74.0,4.0,22.0,0.0,39.0
76.0,8.0,16.0,0.0,31.0
80.0,8.0,12.0,0.0,26.0
67.0,16.0,17.0,0.0,41.0
70.0,10.0,20.0,0.0,41.0
82.0,8.0,10.0,0.0,20.0
72.0,12.0,16.0,0.0,34.0
69.0,14.0,17.0,0.0,39.0
69.0,16.0,15.0,0.0,39.0
73.0,9.0,18.0,0.0,40.0
82.0,3.0,15.0,0.0,26.0
73.0,11.0,16.0,0.0,34.0
77.0,9.0,14.0,0.0,30.0
64.0,13.0,23.0,0.0,51.0
61.0,15.0,24.0,0.0,56.0
72.0,13.0,15.0,0.0,33.0
78.0,5.0,17.0,0.0,31.0
82.0,5.0,13.0,0.0,22.0
85.0,5.0,10.0,0.0,19.0
85.0,3.0,12.0,0.0,17.0
81.0,6.0,13.0,0.0,24.0
73.0,8.0,19.0,0.0,37.0
80.0,5.0,15.0,0.0,25.0
72.0,12.0,16.0,0.0,35.0
77.0,8.0,15.0,0.0,32.0
72.0,12.0,16.0,0.0,36.0
72.0,11.0,17.0,0.0,37.0
78.0,8.0,14.0,0.0,26.0
53.0,17.0,30.0,0.0,68.0
68.0,13.0,19.0,0.0,41.0
81.0,6.0,13.0,0.0,26.0
81.0,7.0,12.0,0.0,23.0
84.0,3.0,13.0,0.0,21.0
80.0,3.0,17.0,0.0,28.0
78.0,10.0,12.0,0.0,26.0
80.0,7.0,13.0,0.0,28.0
80.0,8.0,12.0,0.0,25.0
75.0,11.0,14.0,0.0,30.0
67.0,13.0,20.0,0.0,44.0
70.0,16.0,14.0,0.0,37.0
71.0,13.0,16.0,0.0,35.0
68.0,11.0,21.0,0.0,47.0
68.0,18.0,14.0,0.0,38.0
64.0,20.0,16.0,0.0,42.0
65.0,18.0,17.0,0.0,42.0
73.0,7.0,20.0,0.0,39.0
76.0,11.0,13.0,0.0,27.0
78.0,11.0,11.0,0.0,23.0
81.0,8.0,11.0,0.0,22.0
67.0,16.0,17.0,0.0,41.0
85.0,3.0,12.0,0.0,22.0
70.0,10.0,20.0,0.0,40.0
78.0,6.0,16.0,0.0,29.0
66.0,8.0,26.0,0.0,51.0
87.0,2.0,11.0,0.0,16.0
60.0,21.0,19.0,0.0,49.0
71.0,11.0,18.0,0.0,40.0
70.0,13.0,17.0,0.0,38.0
82.0,6.0,12.0,0.0,21.0
70.0,16.0,14.0,0.0,36.0
79.0,8.0,13.0,0.0,26.0
70.0,10.0,20.0,0.0,42.0
73.0,12.0,15.0,0.0,32.0
79.0,6.0,15.0,0.0,28.0
81.0,7.0,12.0,0.0,24.0
68.0,13.0,19.0,0.0,43.0
82.0,7.0,11.0,0.0,19.0
75.0,11.0,14.0,0.0,29.0
75.0,11.0,14.0,0.0,30.0
68.0,13.0,19.0,0.0,45.0
75.0,5.0,20.0,0.0,41.0
67.0,14.0,19.0,0.0,46.0
62.0,13.0,25.0,0.0,57.0
65.0,16.0,19.0,0.0,46.0
77.0,6.0,17.0,0.0,31.0
77.0,10.0,13.0,0.0,29.0
72.0,13.0,15.0,0.0,34.0
86.0,4.0,10.0,0.0,16.0
80.0,5.0,15.0,0.0,27.0
73.0,13.0,14.0,0.0,31.0
65.0,15.0,20.0,0.0,50.0
77.0,10.0,13.0,0.0,26.0
76.0,8.0,16.0,0.0,35.0
68.0,13.0,19.0,0.0,43.0
76.0,9.0,15.0,0.0,29.0
72.0,12.0,16.0,0.0,36.0
72.0,12.0,16.0,0.0,35.0
65.0,19.0,16.0,0.0,43.0
79.0,6.0,15.0,0.0,27.0
74.0,8.0,18.0,0.0,37.0
80.0,7.0,13.0,0.0,23.0
76.0,7.0,17.0,0.0,32.0
72.0,8.0,20.0,0.0,39.0
62.0,17.0,21.0,0.0,51.0
58.0,17.0,25.0,0.0,60.0
65.0,17.0,18.0,0.0,43.0
68.0,8.0,24.0,0.0,48.0
85.0,3.0,12.0,0.0,17.0
76.0,11.0,13.0,0.0,29.0
68.0,18.0,14.0,0.0,37.0
68.0,14.0,18.0,0.0,41.0
76.0,9.0,15.0,0.0,32.0
87.0,3.0,10.0,0.0,14.0
85.0,4.0,11.0,0.0,19.0
72.0,10.0,18.0,0.0,40.0
62.0,17.0,21.0,0.0,53.0
70.0,15.0,15.0,0.0,38.0
77.0,7.0,16.0,0.0,30.0
76.0,8.0,16.0,0.0,30.0
71.0,10.0,19.0,0.0,39.0
71.0,15.0,14.0,0.0,35.0
63.0,18.0,19.0,0.0,48.0
63.0,21.0,16.0,0.0,44.0
63.0,13.0,24.0,0.0,53.0
82.0,4.0,14.0,0.0,22.0
76.0,8.0,16.0,0.0,31.0
83.0,7.0,10.0,0.0,21.0
84.0,4.0,12.0,0.0,19.0
75.0,10.0,15.0,0.0,30.0
75.0,8.0,17.0,0.0,35.0
77.0,8.0,15.0,0.0,30.0
61.0,12.0,27.0,0.0,57.0
71.0,14.0,15.0,0.0,35.0
69.0,11.0,20.0,0.0,42.0
69.0,16.0,15.0,0.0,40.0
74.0,9.0,17.0,0.0,34.0
66.0,13.0,21.0,0.0,46.0
78.0,7.0,15.0,0.0,29.0
58.0,17.0,25.0,0.0,60.0
75.0,10.0,15.0,0.0,31.0
73.0,13.0,14.0,0.0,34.0
80.0,7.0,13.0,0.0,24.0
75.0,8.0,17.0,0.0,34.0
71.0,14.0,15.0,0.0,36.0
60.0,19.0,21.0,0.0,52.0
57.0,19.0,24.0,0.0,58.0
77.0,8.0,15.0,0.0,29.0
72.0,9.0,19.0,0.0,38.0
76.0,5.0,19.0,0.0,36.0
67.0,16.0,17.0,0.0,42.0
84.0,4.0,12.0,0.0,19.0
77.0,8.0,15.0,0.0,28.0
77.0,6.0,17.0,0.0,30.0
71.0,14.0,15.0,0.0,35.0
75.0,7.0,18.0,0.0,35.0
66.0,15.0,19.0,0.0,45.0
