S,I,D,R,steps
76.0,8.0,16.0,0.0,31.0
67.0,17.0,16.0,0.0,39.0
73.0,11.0,16.0,0.0,35.0
78.0,9.0,13.0,0.0,26.0
64.0,15.0,21.0,0.0,49.0
67.0,11.0,22.0,0.0,49.0
77.0,9.0,14.0,0.0,27.0
61.0,26.0,13.0,0.0,45.0
75.0,10.0,15.0,0.0,30.0
69.0,18.0,13.0,0.0,34.0
69.0,18.0,13.0,0.0,38.0
67.0,13.0,20.0,0.0,43.0
65.0,16.0,19.0,0.0,49.0
68.0,15.0,17.0,0.0,40.0
73.0,15.0,12.0,0.0,31.0
80.0,6.0,14.0,0.0,25.0
73.0,6.0,21.0,0.0,38.0
70.0,16.0,14.0,0.0,34.0
79.0,9.0,12.0,0.0,24.0
73.0,7.0,20.0,0.0,38.0
80.0,8.0,12.0,0.0,23.0
66.0,13.0,21.0,0.0,47.0
74.0,13.0,13.0,0.0,30.0
68.0,12.0,20.0,0.0,42.0
77.0,6.0,17.0,0.0,32.0
68.0,14.0,18.0,0.0,42.0
58.0,19.0,23.0,0.0,59.0
76.0,10.0,14.0,0.0,30.0
76.0,12.0,12.0,0.0,28.0
62.0,15.0,23.0,0.0,55.0
73.0,8.0,19.0,0.0,39.0
65.0,13.0,22.0,0.0,48.0
73.0,11.0,16.0,0.0,35.0
64.0,18.0,18.0,0.0,45.0
63.0,12.0,25.0,0.0,55.0
73.0,14.0,13.0,0.0,34.0
78.0,9.0,13.0,0.0,27.0
75.0,9.0,16.0,0.0,33.0
67.0,16.0,17.0,0.0,45.0
74.0,11.0,15.0,0.0,33.0
79.0,9.0,12.0,0.0,25.0
60.0,16.0,24.0,0.0,59.0
68.0,13.0,19.0,0.0,44.0
78.0,12.0,10.0,0.0,24.0
74.0,8.0,18.0,0.0,36.0
82.0,7.0,11.0,0.0,20.0
65.0,16.0,19.0,0.0,46.0
70.0,12.0,18.0,0.0,39.0
69.0,11.0,20.0,0.0,42.0
70.0,14.0,16.0,0.0,40.0
75.0,11.0,14.0,0.0,30.0
68.0,16.0,16.0,0.0,39.0
68.0,13.0,19.0,0.0,43.0
76.0,8.0,16.0,0.0,32.0
76.0,10.0,14.0,0.0,29.0
69.0,14.0,17.0,0.0,38.0
63.0,12.0,25.0,0.0,52.0
70.0,9.0,21.0,0.0,42.0
56.0,23.0,21.0,0.0,58.0
82.0,6.0,12.0,0.0,21.0
75.0,8.0,17.0,0.0,33.0
71.0,13.0,16.0,0.0,36.0
70.0,13.0,17.0,0.0,38.0
77.0,8.0,15.0,0.0,30.0
76.0,7.0,17.0,0.0,35.0
71.0,13.0,16.0,0.0,35.0
73.0,12.0,15.0,0.0,33.0
66.0,19.0,15.0,0.0,39.0
73.0,7.0,20.0,0.0,42.0
