inf_prop,diag_prop,i0,beta_measure,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,total_immunized
0.55,0.5,5.0,1.0,0.0,0.0,4.0,5.0,5.0,4.0,18.0,42.0,80.0,140.0,168.0,131.0,95.0,53.0,25.0,29.0,25.0,10.0,7.0,7.0,8.0,4.0,1.0,2.0,1.0,0.0,820.0
0.55,0.5,5.0,1.0,0.0,8.0,15.0,13.0,27.0,44.0,104.0,130.0,115.0,101.0,59.0,62.0,43.0,26.0,16.0,11.0,11.0,9.0,10.0,7.0,5.0,2.0,3.0,2.0,0.0,1.0,791.0
0.55,0.5,5.0,1.0,0.0,16.0,51.0,94.0,141.0,151.0,135.0,85.0,60.0,39.0,24.0,13.0,14.0,5.0,4.0,1.0,4.0,4.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,826.0
0.55,0.5,5.0,1.0,0.0,11.0,31.0,56.0,103.0,145.0,152.0,113.0,81.0,48.0,42.0,26.0,16.0,12.0,8.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,836.0
0.55,0.5,5.0,1.0,0.0,16.0,30.0,76.0,136.0,176.0,125.0,106.0,56.0,36.0,25.0,14.0,13.0,14.0,8.0,2.0,5.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,826.0
0.55,0.5,5.0,1.0,0.0,3.0,10.0,20.0,21.0,24.0,54.0,78.0,110.0,125.0,112.0,94.0,53.0,32.0,26.0,14.0,7.0,5.0,6.0,3.0,4.0,2.0,1.0,3.0,0.0,2.0,766.0
0.55,0.5,5.0,1.0,0.0,6.0,2.0,3.0,8.0,6.0,29.0,50.0,67.0,110.0,112.0,109.0,82.0,71.0,26.0,31.0,23.0,18.0,16.0,13.0,7.0,10.0,9.0,5.0,1.0,3.0,764.0
0.55,0.5,5.0,1.0,0.0,5.0,31.0,71.0,113.0,121.0,127.0,116.0,67.0,43.0,31.0,19.0,16.0,8.0,11.0,5.0,10.0,4.0,5.0,3.0,5.0,2.0,3.0,0.0,0.0,0.0,791.0
0.55,0.5,5.0,1.0,0.0,7.0,14.0,26.0,49.0,101.0,143.0,143.0,106.0,97.0,50.0,46.0,20.0,24.0,14.0,3.0,9.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,837.0
0.55,0.5,5.0,1.0,0.0,20.0,30.0,48.0,88.0,91.0,116.0,125.0,90.0,76.0,61.0,31.0,15.0,16.0,12.0,14.0,5.0,6.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,832.0
0.55,0.5,5.0,1.0,0.0,10.0,18.0,40.0,74.0,97.0,121.0,110.0,109.0,76.0,34.0,23.0,30.0,20.0,11.0,11.0,4.0,9.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,772.0
0.55,0.5,5.0,1.0,0.0,6.0,11.0,19.0,50.0,87.0,132.0,108.0,95.0,59.0,64.0,43.0,42.0,22.0,28.0,11.0,7.0,6.0,7.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,776.0
0.55,0.5,5.0,1.0,0.0,5.0,7.0,8.0,43.0,81.0,127.0,144.0,113.0,93.0,63.0,45.0,30.0,24.0,20.0,15.0,4.0,9.0,5.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,810.0
0.55,0.5,5.0,1.0,0.0,5.0,14.0,22.0,23.0,52.0,71.0,123.0,103.0,112.0,85.0,58.0,37.0,31.0,18.0,13.0,7.0,6.0,8.0,5.0,1.0,3.0,6.0,1.0,1.0,2.0,767.0
0.55,0.5,5.0,1.0,0.0,1.0,7.0,8.0,18.0,22.0,61.0,109.0,147.0,133.0,122.0,64.0,49.0,26.0,23.0,16.0,4.0,6.0,4.0,9.0,4.0,3.0,2.0,1.0,2.0,2.0,809.0
0.55,0.5,5.0,1.0,0.0,0.0,9.0,13.0,44.0,113.0,119.0,141.0,101.0,115.0,59.0,48.0,21.0,10.0,7.0,6.0,4.0,8.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,801.0
0.55,0.5,5.0,1.0,0.0,2.0,9.0,20.0,15.0,7.0,33.0,30.0,102.0,95.0,123.0,101.0,62.0,66.0,44.0,21.0,24.0,16.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,744.0
0.55,0.5,5.0,1.0,0.0,2.0,11.0,53.0,94.0,125.0,138.0,130.0,78.0,71.0,32.0,25.0,19.0,13.0,8.0,10.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,797.0
0.55,0.5,5.0,1.0,0.0,3.0,5.0,14.0,9.0,8.0,22.0,48.0,81.0,92.0,112.0,133.0,108.0,69.0,46.0,38.0,12.0,13.0,8.0,6.0,1.0,2.0,2.0,0.0,1.0,0.0,783.0
0.55,0.5,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
0.55,0.5,5.0,1.0,0.0,8.0,14.0,27.0,55.0,131.0,144.0,149.0,118.0,70.0,44.0,19.0,16.0,8.0,6.0,4.0,4.0,3.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,814.0
0.55,0.5,5.0,1.0,0.0,2.0,11.0,9.0,35.0,60.0,106.0,145.0,154.0,87.0,59.0,40.0,26.0,32.0,16.0,23.0,12.0,4.0,3.0,1.0,3.0,3.0,1.0,0.0,1.0,0.0,799.0
0.55,0.5,5.0,1.0,0.0,5.0,16.0,18.0,75.0,126.0,124.0,148.0,103.0,68.0,54.0,25.0,21.0,21.0,10.0,10.0,6.0,5.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,827.0
0.55,0.5,5.0,1.0,0.0,6.0,35.0,81.0,134.0,139.0,125.0,95.0,68.0,68.0,40.0,20.0,15.0,9.0,8.0,6.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,841.0
0.55,0.5,5.0,1.0,0.0,3.0,5.0,14.0,15.0,41.0,73.0,115.0,109.0,97.0,107.0,91.0,52.0,34.0,24.0,15.0,5.0,8.0,6.0,6.0,3.0,1.0,1.0,2.0,0.0,0.0,796.0
0.55,0.5,5.0,1.0,0.0,9.0,34.0,106.0,155.0,155.0,123.0,70.0,57.0,28.0,31.0,17.0,12.0,7.0,7.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,813.0
0.55,0.5,5.0,1.0,0.0,12.0,24.0,60.0,110.0,131.0,120.0,114.0,70.0,61.0,38.0,32.0,22.0,10.0,8.0,7.0,2.0,0.0,4.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,812.0
0.55,0.5,5.0,1.0,0.0,1.0,4.0,19.0,58.0,75.0,114.0,133.0,125.0,76.0,81.0,40.0,36.0,15.0,16.0,15.0,8.0,1.0,8.0,6.0,3.0,1.0,4.0,0.0,0.0,0.0,809.0
0.55,0.5,5.0,1.0,0.0,0.0,4.0,18.0,45.0,91.0,118.0,152.0,119.0,83.0,55.0,33.0,26.0,19.0,11.0,9.0,7.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,772.0
0.55,0.5,5.0,1.0,0.0,26.0,59.0,87.0,117.0,138.0,155.0,87.0,78.0,42.0,33.0,20.0,11.0,9.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.0
0.55,0.5,5.0,1.0,0.0,3.0,3.0,12.0,28.0,40.0,61.0,112.0,142.0,137.0,97.0,69.0,43.0,30.0,19.0,18.0,8.0,10.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,810.0
0.55,0.5,5.0,1.0,0.0,1.0,11.0,29.0,47.0,65.0,107.0,112.0,119.0,113.0,61.0,51.0,30.0,21.0,17.0,17.0,4.0,4.0,7.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,798.0
0.55,0.5,5.0,1.0,0.0,0.0,8.0,38.0,59.0,57.0,65.0,135.0,104.0,110.0,83.0,71.0,27.0,30.0,24.0,8.0,11.0,5.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,818.0
0.55,0.5,5.0,1.0,0.0,5.0,20.0,40.0,74.0,85.0,127.0,130.0,114.0,71.0,71.0,39.0,20.0,9.0,12.0,9.0,9.0,4.0,7.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,821.0
0.55,0.5,5.0,1.0,0.0,1.0,12.0,22.0,37.0,83.0,121.0,119.0,129.0,102.0,48.0,55.0,36.0,24.0,13.0,12.0,8.0,5.0,5.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,815.0
0.55,0.5,5.0,1.0,0.0,5.0,10.0,9.0,52.0,97.0,143.0,131.0,101.0,90.0,63.0,33.0,31.0,22.0,15.0,13.0,8.0,5.0,3.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,806.0
0.55,0.5,5.0,1.0,0.0,5.0,3.0,28.0,57.0,118.0,130.0,125.0,107.0,93.0,81.0,32.0,23.0,17.0,15.0,3.0,11.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,827.0
0.55,0.5,5.0,1.0,0.0,32.0,64.0,108.0,153.0,148.0,104.0,77.0,51.0,26.0,26.0,13.0,13.0,7.0,8.0,6.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,826.0
0.55,0.5,5.0,1.0,0.0,16.0,18.0,22.0,70.0,144.0,168.0,127.0,79.0,66.0,34.0,29.0,23.0,10.0,12.0,6.0,5.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,819.0
