inf_prop,diag_prop,i0,beta_measure,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,total_immunized
0.55,0.5,5.0,1.0,0.0,0.0,2.0,3.0,5.0,8.0,12.0,20.0,37.0,69.0,110.0,191.0,290.0,379.0,446.0,500.0,564.0,620.0,658.0,694.0,729.0,753.0,776.0,789.0,807.0,820.0,820.0
0.55,0.5,5.0,1.0,0.0,1.0,3.0,10.0,19.0,29.0,52.0,88.0,142.0,211.0,277.0,344.0,396.0,455.0,511.0,575.0,620.0,657.0,678.0,709.0,723.0,739.0,748.0,762.0,777.0,791.0,791.0
0.55,0.5,5.0,1.0,0.0,1.0,12.0,34.0,60.0,124.0,196.0,270.0,349.0,414.0,483.0,540.0,592.0,639.0,676.0,702.0,729.0,744.0,758.0,776.0,786.0,792.0,804.0,810.0,818.0,826.0,826.0
0.55,0.5,5.0,1.0,0.0,4.0,11.0,19.0,48.0,85.0,142.0,220.0,302.0,372.0,446.0,511.0,560.0,624.0,675.0,708.0,732.0,754.0,771.0,787.0,801.0,809.0,820.0,824.0,829.0,836.0,836.0
0.55,0.5,5.0,1.0,0.0,1.0,4.0,17.0,47.0,102.0,182.0,261.0,347.0,415.0,481.0,544.0,592.0,639.0,670.0,705.0,730.0,750.0,768.0,783.0,794.0,802.0,810.0,818.0,821.0,826.0,826.0
0.55,0.5,5.0,1.0,0.0,2.0,4.0,9.0,20.0,32.0,45.0,66.0,99.0,152.0,220.0,285.0,381.0,446.0,500.0,563.0,597.0,627.0,650.0,676.0,693.0,714.0,730.0,746.0,758.0,766.0,766.0
0.55,0.5,5.0,1.0,0.0,1.0,2.0,5.0,12.0,16.0,21.0,41.0,59.0,89.0,141.0,196.0,260.0,325.0,397.0,456.0,505.0,550.0,585.0,624.0,655.0,682.0,703.0,731.0,751.0,764.0,764.0
0.55,0.5,5.0,1.0,0.0,0.0,4.0,17.0,47.0,94.0,139.0,219.0,286.0,350.0,410.0,467.0,511.0,549.0,591.0,623.0,660.0,688.0,707.0,723.0,739.0,752.0,767.0,774.0,786.0,791.0,791.0
0.55,0.5,5.0,1.0,0.0,2.0,3.0,7.0,23.0,41.0,74.0,146.0,214.0,286.0,358.0,447.0,510.0,572.0,630.0,672.0,702.0,733.0,760.0,783.0,798.0,806.0,819.0,828.0,834.0,837.0,837.0
0.55,0.5,5.0,1.0,0.0,1.0,11.0,21.0,44.0,84.0,126.0,185.0,253.0,329.0,406.0,478.0,539.0,597.0,628.0,657.0,682.0,721.0,742.0,770.0,785.0,796.0,809.0,819.0,826.0,832.0,832.0
0.55,0.5,5.0,1.0,0.0,1.0,8.0,17.0,34.0,60.0,98.0,158.0,228.0,299.0,363.0,423.0,481.0,520.0,548.0,597.0,637.0,669.0,695.0,708.0,728.0,743.0,753.0,761.0,766.0,772.0,772.0
